recovery_family,n_amplitudes,baseline_failure_observed,first_baseline_failure_amplitude,recovered_at_first_failure,first_failure_feedback_margin,maximum_baseline_pass_amplitude,maximum_feedback_pass_amplitude
RZ_p10_m10_m0_s04_m,5,False,,False,,0.28,0.28
RZ_p10_m10_m0_s04_p,5,False,,False,,0.28,0.28
RZ_p10_m10_m0_s12_m,5,False,,False,,0.28,0.28
RZ_p10_m10_m0_s12_p,5,False,,False,,0.28,0.28
RZ_p10_m10_m0_s24_m,5,False,,False,,0.28,0.28
RZ_p10_m10_m0_s24_p,5,False,,False,,0.28,0.28
RZ_p10_m10_m1_s04_m,5,False,,False,,0.28,0.28
RZ_p10_m10_m1_s04_p,5,False,,False,,0.28,0.28
RZ_p10_m10_m1_s12_m,5,False,,False,,0.28,0.28
RZ_p10_m10_m1_s12_p,5,False,,False,,0.28,0.28
RZ_p10_m10_m1_s24_m,5,False,,False,,0.28,0.28
RZ_p10_m10_m1_s24_p,5,False,,False,,0.28,0.28
RZ_p10_m10_m2_s04_m,5,False,,False,,0.14,0.14
RZ_p10_m10_m2_s04_p,5,False,,False,,0.14,0.14
RZ_p10_m10_m2_s12_m,5,False,,False,,0.14,0.14
RZ_p10_m10_m2_s12_p,5,False,,False,,0.14,0.14
RZ_p10_m10_m2_s24_m,5,False,,False,,0.14,0.14
RZ_p10_m10_m2_s24_p,5,False,,False,,0.14,0.14
nominal_m0_s04_m,5,False,,False,,0.28,0.28
nominal_m0_s04_p,5,False,,False,,0.28,0.28
nominal_m0_s12_m,5,False,,False,,0.28,0.28
nominal_m0_s12_p,5,False,,False,,0.28,0.28
nominal_m0_s24_m,5,False,,False,,0.28,0.28
nominal_m0_s24_p,5,False,,False,,0.28,0.28
nominal_m1_s04_m,5,False,,False,,0.28,0.28
nominal_m1_s04_p,5,False,,False,,0.28,0.28
nominal_m1_s12_m,5,False,,False,,0.28,0.28
nominal_m1_s12_p,5,False,,False,,0.28,0.28
nominal_m1_s24_m,5,False,,False,,0.28,0.28
nominal_m1_s24_p,5,False,,False,,0.28,0.28
nominal_m2_s04_m,5,False,,False,,0.14,0.14
nominal_m2_s04_p,5,False,,False,,0.14,0.14
nominal_m2_s12_m,5,False,,False,,0.14,0.14
nominal_m2_s12_p,5,False,,False,,0.14,0.14
nominal_m2_s24_m,5,False,,False,,0.14,0.14
nominal_m2_s24_p,5,False,,False,,0.14,0.14
