recovery_family,disturbance_amplitude_abs,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal_m0_s04_m,0.08,0.5,s40_1a8f0ae07aa5d140e02c,s40_658f5f22eaf12726e8bd,True,True,True,False,False,0.3158857666666667,0.45336513,0.13747936333333333
nominal_m0_s04_m,0.12,0.5,s40_c5f4ad3c9493b12e153e,s40_6c96eea48133fbe39e16,True,True,True,False,False,0.2817819966666666,0.45480022333333336,0.17301822666666677
nominal_m0_s04_m,0.16,0.5,s40_3a03ac455cdf29b9b239,s40_34b4e797c65b3ebc0e41,True,True,True,False,False,0.2517585366666666,0.4568185733333333,0.20506003666666672
nominal_m0_s04_m,0.2,0.5,s40_04c6d72e6a9155fde3df,s40_30f68ed5616a96577b01,True,True,True,False,False,0.22285124666666667,0.4569793166666667,0.23412807000000002
nominal_m0_s04_m,0.28,0.5,s40_d54ed19eabf08b47317f,s40_dae12e7e1609bc310037,True,True,True,False,False,0.1504048166666666,0.46131390000000005,0.31090908333333345
nominal_m0_s04_p,0.08,0.5,s40_6edf24558f028a8919d9,s40_a38567f9297f7fa38948,True,True,True,False,False,0.3759408031892313,0.4501888833333333,0.074248080144102
nominal_m0_s04_p,0.12,0.5,s40_e8d24860153840094997,s40_dfed765ebf0431adf471,True,True,True,False,False,0.3633081344535072,0.45034829666666665,0.08704016221315947
nominal_m0_s04_p,0.16,0.5,s40_474195b2cf5b86eb6d83,s40_0168bb956750380a6ffc,True,True,True,False,False,0.3427390074693709,0.45053842999999993,0.10779942253062902
nominal_m0_s04_p,0.2,0.5,s40_90d3f8592b0a1ec4712c,s40_4e13ac26f08547b5114e,True,True,True,False,False,0.3203803734414863,0.45055478999999987,0.13017441655851358
nominal_m0_s04_p,0.28,0.5,s40_314900853f50eaafa211,s40_e41b90b6a09d76459b75,True,True,True,False,False,0.273647315502227,0.45138967333333324,0.17774235783110626
nominal_m0_s12_m,0.08,0.5,s40_61fe73b03bcab0d49831,s40_fedc27c48d251057a89b,True,True,True,False,False,0.3400001399999999,0.44564492666666666,0.10564478666666677
nominal_m0_s12_m,0.12,0.5,s40_6f1f9facb857f2a25909,s40_bc47eb985d3bc36f97d7,True,True,True,False,False,0.30828174666666663,0.4393219633333333,0.13104021666666665
nominal_m0_s12_m,0.16,0.5,s40_2a8f7b34cd8a2e0e2418,s40_1d119fefac75a01e8ecd,True,True,True,False,False,0.2729618733333333,0.43354132999999995,0.16057945666666662
nominal_m0_s12_m,0.2,0.5,s40_e83a9d80d23b4d0d1605,s40_2e3dcafce0850569c198,True,True,True,False,False,0.24504929999999991,0.4235261766666666,0.17847687666666667
nominal_m0_s12_m,0.28,0.5,s40_4a1f3f5b82b40e394a1e,s40_49fde26d32aecdd0c1a8,True,True,True,False,False,0.19184111999999998,0.40605447333333333,0.21421335333333336
nominal_m0_s12_p,0.08,0.5,s40_6f6241fdcdcefe3400f0,s40_44d81414835de4772843,True,True,True,False,False,0.37739042104741105,0.45792559999999993,0.08053517895258888
nominal_m0_s12_p,0.12,0.5,s40_b5cb6d07d337dffe7f4a,s40_fb5c1d1141345bd65b43,True,True,True,False,False,0.35998232501100924,0.45956497666666674,0.0995826516556575
nominal_m0_s12_p,0.16,0.5,s40_c656be5a48b2f626a4e7,s40_78076d9ea07bbffce8af,True,True,True,False,False,0.34425891753228544,0.46409232666666667,0.11983340913438123
nominal_m0_s12_p,0.2,0.5,s40_9899f64ec95c19ef01ed,s40_e93b8f54d2f6a56e3f0f,True,True,True,False,False,0.32689897079225705,0.4672854333333333,0.14038646254107623
nominal_m0_s12_p,0.28,0.5,s40_276afecc8b749002894c,s40_f060ca21cd892349ec80,True,True,True,False,False,0.27909259545399656,0.47226064999999995,0.1931680545460034
nominal_m0_s24_m,0.08,0.5,s40_7ced1c191d6086ca05ae,s40_f9b086dfbc0064573b7f,True,True,True,False,False,0.37226069333333334,0.45179333666666666,0.07953264333333332
nominal_m0_s24_m,0.12,0.5,s40_c55109c0322ae25271b4,s40_7675e19b8f22183c4541,True,True,True,False,False,0.36008900999999993,0.45179333666666666,0.09170432666666672
nominal_m0_s24_m,0.16,0.5,s40_a17449278e6103fb5cf5,s40_6291338a6bc8b1096b1e,True,True,True,False,False,0.3492941633333333,0.45179333666666666,0.10249917333333336
nominal_m0_s24_m,0.2,0.5,s40_123a1bac809298f91646,s40_31f836ea8f9dcaeb6dff,True,True,True,False,False,0.3393519066666666,0.45179333666666666,0.11244143000000006
nominal_m0_s24_m,0.28,0.5,s40_99f2ddd3ef81a827cae9,s40_9cc37c5ad0ffc8d42ee0,True,True,True,False,False,0.31708817666666655,0.45179333666666666,0.1347051600000001
nominal_m0_s24_p,0.08,0.5,s40_d9b24c773d81ee207f31,s40_50ce48d1fbf79f99e9f3,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m0_s24_p,0.12,0.5,s40_9c829b1734264331b402,s40_da87ce34587056c1c30c,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m0_s24_p,0.16,0.5,s40_a0ebd090daf1b06a168c,s40_3c969781b97ea9f45354,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m0_s24_p,0.2,0.5,s40_41c0dc10bb9159a0debc,s40_44ea07e6331a8ae3652b,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m0_s24_p,0.28,0.5,s40_c772c0940bbf36f6d07e,s40_3cf8ecea2b40e4c578e1,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m1_s04_m,0.08,0.5,s40_4f67564c13efe86e3d3b,s40_69da0d7348a5b825f531,True,True,True,False,False,0.37889074666666656,0.4508369866666666,0.07194624000000005
nominal_m1_s04_m,0.12,0.5,s40_311c7892d1d810bebc54,s40_f06d31edb405a46527ae,True,True,True,False,False,0.37708398666666665,0.4517029033333333,0.07461891666666665
nominal_m1_s04_m,0.16,0.5,s40_ca9f51bcf5860b460712,s40_9dc791d103363402b428,True,True,True,False,False,0.37558171333333334,0.45120751000000003,0.07562579666666669
nominal_m1_s04_m,0.2,0.5,s40_f89168456d2030b3b69e,s40_ba491f14be4114358b80,True,True,True,False,False,0.3704519433333333,0.45162227666666666,0.08117033333333334
nominal_m1_s04_m,0.28,0.5,s40_e0b6be1fff77f80188c0,s40_81d5aa881d196186c90b,True,True,True,False,False,0.3657156733333333,0.45183638000000004,0.08612070666666671
nominal_m1_s04_p,0.08,0.5,s40_82240a0ac59894c553c9,s40_4b61ce2cd254cc3eaf6d,True,True,True,False,False,0.3975102199999999,0.45249551,0.054985290000000075
nominal_m1_s04_p,0.12,0.5,s40_c473a0d310eef0fc4c94,s40_c676b414e26e747fbc60,True,True,True,False,False,0.39919852666666666,0.4527072299999999,0.05350870333333324
nominal_m1_s04_p,0.16,0.5,s40_57d5005661904267f5ee,s40_78d405f41bc7400ba918,True,True,True,False,False,0.39930049967235515,0.4525283333333333,0.05322783366097816
nominal_m1_s04_p,0.2,0.5,s40_6fd668d6561ddf97cf11,s40_709fcb3f7f61a8e260a4,True,True,True,False,False,0.3970138904713659,0.45269536999999993,0.055681479528634004
nominal_m1_s04_p,0.28,0.5,s40_f7178794bbb77df46dc6,s40_f7a2ddc8db92dcd3ad47,True,True,True,False,False,0.39478039337272697,0.45321756999999996,0.05843717662727299
nominal_m1_s12_m,0.08,0.5,s40_f580f0348250b50318a4,s40_37d586bd298da5f404ad,True,True,True,False,False,0.3741633166666667,0.4496700166666666,0.07550669999999993
nominal_m1_s12_m,0.12,0.5,s40_af167afaa39c8abed4c9,s40_9dd993fb9c0eb10eeefb,True,True,True,False,False,0.36854138999999997,0.4431546683422378,0.07461327834223785
nominal_m1_s12_m,0.16,0.5,s40_d6a79b5797e64fa81599,s40_6888704a2010853dd730,True,True,True,False,False,0.3656556666666666,0.42052652770320353,0.05487086103653693
nominal_m1_s12_m,0.2,0.5,s40_044baef6e3437f7d4e48,s40_64a11ec8ce450c9d34cb,True,True,True,False,False,0.3541438433333334,0.38935094239379797,0.0352070990604646
nominal_m1_s12_m,0.28,0.5,s40_995ad10d5d2768b48be1,s40_28f046c6d5496d0469da,True,True,True,False,False,0.3391822866666666,0.37471276333333337,0.035530476666666755
nominal_m1_s12_p,0.08,0.5,s40_0579f0fb3b566e1b0355,s40_0b65691d0769dc44154c,True,True,True,False,False,0.3701651001561189,0.4559345766666666,0.08576947651054767
nominal_m1_s12_p,0.12,0.5,s40_1ac1786b5b062d2ec971,s40_f0e80ddb5d3d6b5adff4,True,True,True,False,False,0.3553565604025578,0.4573929366666667,0.10203637626410889
nominal_m1_s12_p,0.16,0.5,s40_dd25b920c69a641928d5,s40_a403ff6f1b0ae1740b2e,True,True,True,False,False,0.33566243438419463,0.4609634199999999,0.12530098561580527
nominal_m1_s12_p,0.2,0.5,s40_cc8fb9b92ed7a90a360d,s40_c8f3c600b7a386e4543d,True,True,True,False,False,0.3103628113692507,0.4660270866666667,0.155664275297416
nominal_m1_s12_p,0.28,0.5,s40_484bfd8b7e402ddecad7,s40_1d10f79bb472e53dd2b2,True,True,True,False,False,0.26562547984713136,0.47409134333333325,0.20846586348620189
nominal_m1_s24_m,0.08,0.5,s40_ce677e89a193f58a3f31,s40_211ff2ca52add6848a36,True,True,True,False,False,0.38478815999999993,0.45179333666666666,0.06700517666666672
nominal_m1_s24_m,0.12,0.5,s40_8ac719f0cc9f944a8199,s40_559525a5fa90503088fc,True,True,True,False,False,0.3824168866666666,0.45179333666666666,0.06937645000000003
nominal_m1_s24_m,0.16,0.5,s40_1870ccdcf9c4cb8d3871,s40_fc5790be71e942ecf89d,True,True,True,False,False,0.3789179899999999,0.45179333666666666,0.07287534666666673
nominal_m1_s24_m,0.2,0.5,s40_0d51f08e1002ef54b815,s40_399dc9699c4d0dc14b85,True,True,True,False,False,0.37325310999999994,0.45179333666666666,0.07854022666666671
nominal_m1_s24_m,0.28,0.5,s40_8e34b26ef55c6f1eb503,s40_dba76a94f695e5623d8f,True,True,True,False,False,0.36811098333333325,0.45179333666666666,0.0836823533333334
nominal_m1_s24_p,0.08,0.5,s40_6e44d43b87c6a70dc28d,s40_2e9a089f1f68814f9d21,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m1_s24_p,0.12,0.5,s40_0d1a4df72da565615c03,s40_a672c497c2990ec03b28,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m1_s24_p,0.16,0.5,s40_13cca179576b8a49aff3,s40_e9f6339484fd1a43bc67,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m1_s24_p,0.2,0.5,s40_53a5f5a4a85195968b0d,s40_4f334b9d1901f635acda,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m1_s24_p,0.28,0.5,s40_b64b9c531b5d6e8e559a,s40_da262a34de4a15b1366f,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m2_s04_m,0.035,0.5,s40_032925b08a64b821a058,s40_7efad543a8a511a2eff6,True,True,True,False,False,0.3814108666666667,0.45174916666666665,0.07033829999999996
nominal_m2_s04_m,0.05,0.5,s40_568fcba62c39f7b5f997,s40_7f97d0eec81c5a4f540f,True,True,True,False,False,0.3840264499999999,0.45148530666666664,0.06745885666666673
nominal_m2_s04_m,0.07,0.5,s40_6e39e3a2c8caf40434ae,s40_f095db4f2b12189045cd,True,True,True,False,False,0.3810711933333334,0.44996839,0.0688971966666666
nominal_m2_s04_m,0.1,0.5,s40_705b2a568f1161b8d640,s40_cd00b322fb24e449d4c0,True,True,True,False,False,0.3822805166666666,0.4332787504744898,0.0509982338078232
nominal_m2_s04_m,0.14,0.5,s40_3bdd9d7214e50f1f685c,s40_07bd9bed752c1a568b82,True,True,True,False,False,0.3737127333333333,0.41588548155192484,0.042172748218591516
nominal_m2_s04_p,0.035,0.5,s40_df3583efda7bc5932cc0,s40_a146adf1b0962266bb76,True,True,True,False,False,0.3936978,0.45334546,0.05964765999999999
nominal_m2_s04_p,0.05,0.5,s40_38be80894a4be50c98fc,s40_64a279eabe16f872c001,True,True,True,False,False,0.3956022733333333,0.4539439133333334,0.05834164000000008
nominal_m2_s04_p,0.07,0.5,s40_fc73d0d3fa77347766d9,s40_a24e00769f4c65be2c5c,True,True,True,False,False,0.39529699333333324,0.4538340266666666,0.05853703333333338
nominal_m2_s04_p,0.1,0.5,s40_7f319e83ab0588a8fae5,s40_d5c1aacbd1b9824ddcb8,True,True,True,False,False,0.38917343514945824,0.45623989,0.06706645485054175
nominal_m2_s04_p,0.14,0.5,s40_56eb4949f167da11fd97,s40_9fcf8f6eb954f67b0424,True,True,True,False,False,0.37985492245096664,0.45740987,0.07755494754903336
nominal_m2_s12_m,0.035,0.5,s40_aa1e3563934573a1b560,s40_7c899219d7190129f483,True,True,True,False,False,0.39511741,0.45286379666666665,0.05774638666666665
nominal_m2_s12_m,0.05,0.5,s40_54aaea0dd5d88817a5a7,s40_427915b0034d8abefa48,True,True,True,False,False,0.39311120666666655,0.45294407999999997,0.059832873333333425
nominal_m2_s12_m,0.07,0.5,s40_0176a1b51d740b63a5d6,s40_04d74cd0215cc0ed56d7,True,True,True,False,False,0.3962262299999999,0.453048,0.056821770000000105
nominal_m2_s12_m,0.1,0.5,s40_1520c00992d7abd44b53,s40_87622fcd4338612614ba,True,True,True,False,False,0.39570107666666654,0.4528704866666666,0.05716941000000009
nominal_m2_s12_m,0.14,0.5,s40_0354251dae4bc5ff56cc,s40_f0c58d7642457f056ec0,True,True,True,False,False,0.3937273533333333,0.4531170166666667,0.0593896633333334
nominal_m2_s12_p,0.035,0.5,s40_6d81c99a5e50d02673c8,s40_458b476da8eaca7b1db4,True,True,True,False,False,0.39237605,0.4508209866666666,0.058444936666666614
nominal_m2_s12_p,0.05,0.5,s40_94b268e0095e7c0b98b6,s40_9ab49e9f90341e51755d,True,True,True,False,False,0.3909456333333333,0.4511203633333334,0.060174730000000065
nominal_m2_s12_p,0.07,0.5,s40_cf4761620da32a775bb1,s40_4c5e3c513d06c742dc7b,True,True,True,False,False,0.39004642415085056,0.45100476,0.06095833584914945
nominal_m2_s12_p,0.1,0.5,s40_20750290c6536c651a8c,s40_9b51fa03573d41b03cf7,True,True,True,False,False,0.3859117209981955,0.4518712100000001,0.0659594890018046
nominal_m2_s12_p,0.14,0.5,s40_4e98e077bfa32e6e08b5,s40_3b4588a09a55f0e8c3f2,True,True,True,False,False,0.3801212800713243,0.45108644,0.07096515992867569
nominal_m2_s24_m,0.035,0.5,s40_de68765af21ea7d90785,s40_151699905ebd17e6eb90,True,True,True,False,False,0.39380772333333336,0.45179333666666666,0.0579856133333333
nominal_m2_s24_m,0.05,0.5,s40_c4eb4561e1b8565c9745,s40_f2e8c0c2b5870c264095,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal_m2_s24_m,0.07,0.5,s40_da7c105f2076546a0361,s40_0788c23cf4161ff4428f,True,True,True,False,False,0.39181191000000004,0.45179333666666666,0.059981426666666615
nominal_m2_s24_m,0.1,0.5,s40_44203a8ce2a4bcbc8f51,s40_58d8a2486dc151c39065,True,True,True,False,False,0.3931459833333334,0.45179333666666666,0.05864735333333326
nominal_m2_s24_m,0.14,0.5,s40_473029557ea83c41a265,s40_ba2307be564f4456c463,True,True,True,False,False,0.39276809,0.45179333666666666,0.05902524666666664
nominal_m2_s24_p,0.035,0.5,s40_6120ae5957f01c1eef01,s40_70ef1d6224fe666834a3,True,True,True,False,False,0.3930186666666666,0.45179333666666666,0.05877467000000003
nominal_m2_s24_p,0.05,0.5,s40_1a92c7099393dd010736,s40_204377d6a4cffa8074f4,True,True,True,False,False,0.3920511566666667,0.45179333666666666,0.05974217999999998
nominal_m2_s24_p,0.07,0.5,s40_e1022fae73b73abba6fa,s40_6b37b49b1b0d6176105a,True,True,True,False,False,0.3924190833333333,0.45179333666666666,0.05937425333333335
nominal_m2_s24_p,0.1,0.5,s40_4d7d81497d570b43db92,s40_07ae23910b47de54434c,True,True,True,False,False,0.39407774333333334,0.45179333666666666,0.057715593333333315
nominal_m2_s24_p,0.14,0.5,s40_bfb3e61f6ce2ced7f676,s40_6ca475e5161e1dc39d88,True,True,True,False,False,0.3938972233333333,0.45179333666666666,0.05789611333333333
RZ_p10_m10_m0_s04_m,0.08,0.5,s40_a5f22561c0ef37cadfed,s40_77b99700f3071719e1c4,True,True,True,False,False,0.2150793166666667,0.23635112758425736,0.021271810917590672
RZ_p10_m10_m0_s04_m,0.12,0.5,s40_35b91065df97fbd9ae99,s40_081b6a62e1b0dde41618,True,True,True,False,False,0.18521519666666664,0.22803055536891936,0.042815358702252726
RZ_p10_m10_m0_s04_m,0.16,0.5,s40_f674436ad85c7efe9620,s40_e1efe7474d8ab37a3893,True,True,True,False,False,0.15343400666666662,0.21905935643127816,0.06562534976461154
RZ_p10_m10_m0_s04_m,0.2,0.5,s40_e495f323d5cb81005348,s40_fa29d0b1058dbab549d6,True,True,True,False,False,0.12064296333333324,0.21324058409755087,0.09259762076421763
RZ_p10_m10_m0_s04_m,0.28,0.5,s40_48fc6ee70fc2d54cb447,s40_40f0d15d00a1d1108178,True,True,True,False,False,0.06168185000000004,0.23088519032641197,0.16920334032641193
RZ_p10_m10_m0_s04_p,0.08,0.5,s40_471c06e7c755783a6cec,s40_bfe8bac293953018a048,True,True,True,False,False,0.24507479999999937,0.2534847099491395,0.008409909949140149
RZ_p10_m10_m0_s04_p,0.12,0.5,s40_3601c415464e43be5a5e,s40_6795aed34bd5b6564b03,True,True,True,False,False,0.23421923607211015,0.26771281878683606,0.03349358271472591
RZ_p10_m10_m0_s04_p,0.16,0.5,s40_9e4a4311c69189c50d57,s40_d659258678800f1c4e6f,True,True,True,False,False,0.20528666007859075,0.27519809999999867,0.06991143992140791
RZ_p10_m10_m0_s04_p,0.2,0.5,s40_0fc347280d2b2b3ca9a2,s40_be4a1fac389ec5a46707,True,True,True,False,False,0.18692155372442776,0.2759887333333313,0.08906717960890354
RZ_p10_m10_m0_s04_p,0.28,0.5,s40_6ad21a9bed41e1081c05,s40_6a7e22b9c32c96349851,True,True,True,False,False,0.14988318449674087,0.2823786333333347,0.1324954488365938
RZ_p10_m10_m0_s12_m,0.08,0.5,s40_31be67885bbf3958d860,s40_50455b49f7de4e0c7da4,True,True,True,False,False,0.23209857,0.22130282239064403,-0.010795747609355977
RZ_p10_m10_m0_s12_m,0.12,0.5,s40_7eca971d1389f402ffd7,s40_0107ff8d60f1d9e230af,True,True,True,False,False,0.2042236066666666,0.23989023198109027,0.03566662531442366
RZ_p10_m10_m0_s12_m,0.16,0.5,s40_a9740a529746b48e8e0f,s40_bdf0c5273022492c240f,True,True,True,False,False,0.17485368666666667,0.2572111813330108,0.08235749466634412
RZ_p10_m10_m0_s12_m,0.2,0.5,s40_5e338b04438b56bffe6e,s40_7c7910ea2a79234e0ef5,True,True,True,False,False,0.14981738666666666,0.24918741333333327,0.09937002666666661
RZ_p10_m10_m0_s12_m,0.28,0.5,s40_93b1c2812005435fbf46,s40_11ad79f3c724a06d9a6e,True,True,True,False,False,0.09514785000000003,0.2262525666666667,0.13110471666666668
RZ_p10_m10_m0_s12_p,0.08,0.5,s40_d9c3ead1602fe9a7e72c,s40_f6660dfc3ae3fa7ea4c1,True,True,True,False,False,0.2490503000000005,0.26228806139702454,0.01323776139702404
RZ_p10_m10_m0_s12_p,0.12,0.5,s40_b8f8fbb1de757a65aa4c,s40_08f86dc68c44ebc57778,True,True,True,False,False,0.23409231630241467,0.2692297999999991,0.035137483697584404
RZ_p10_m10_m0_s12_p,0.16,0.5,s40_d80d6e2549b2de406079,s40_77c4b7b626ed0c241093,True,True,True,False,False,0.21556079452206012,0.26919919999999853,0.05363840547793841
RZ_p10_m10_m0_s12_p,0.2,0.5,s40_b7b3afba15cbe85a3f76,s40_957abf87e946d8b66895,True,True,True,False,False,0.18914772290480042,0.26945216666666805,0.08030444376186763
RZ_p10_m10_m0_s12_p,0.28,0.5,s40_253f0e092a1c462b6acd,s40_388eb42d81e25d72748d,True,True,True,False,False,0.14850105498656974,0.2673865333333312,0.11888547834676144
RZ_p10_m10_m0_s24_m,0.08,0.5,s40_d6ad1a2690bb7e61f4c0,s40_597ab987d2f9c216b633,True,True,True,False,False,0.2542708433333333,0.23851072716077049,-0.015760116172562788
RZ_p10_m10_m0_s24_m,0.12,0.5,s40_e57758bc814e7689f430,s40_f5ed61a3365f46b1208a,True,True,True,False,False,0.2542708433333333,0.23858533041275265,-0.015685512920580624
RZ_p10_m10_m0_s24_m,0.16,0.5,s40_78200899bc402db02c55,s40_db9c65e731f3b230a5b6,True,True,True,False,False,0.2542708433333333,0.23864385555227463,-0.015626987781058643
RZ_p10_m10_m0_s24_m,0.2,0.5,s40_91bd622f5015dfd0759d,s40_31d6bbf0bb1d6093488e,True,True,True,False,False,0.24880659000000005,0.2387016698433666,-0.010104920156633446
RZ_p10_m10_m0_s24_m,0.28,0.5,s40_7b1ed83bd6106cc27405,s40_78c871df6706c2464e80,True,True,True,False,False,0.22546399333333322,0.23888801557326933,0.013424022239936106
RZ_p10_m10_m0_s24_p,0.08,0.5,s40_6728265598fe9fee642b,s40_d1d188b7e19d4368548b,True,True,True,False,False,0.2542708433333333,0.2381744189046172,-0.01609642442871606
RZ_p10_m10_m0_s24_p,0.12,0.5,s40_13fd490ebb358cdeda44,s40_c75c226c374a8f0c0eb3,True,True,True,False,False,0.2542708433333333,0.23809639258437165,-0.016174450748961622
RZ_p10_m10_m0_s24_p,0.16,0.5,s40_0a3427120829239ce3c1,s40_90cc5ac67ce4e8ca32a4,True,True,True,False,False,0.2542708433333333,0.23801945021999804,-0.016251393113335233
RZ_p10_m10_m0_s24_p,0.2,0.5,s40_c6e25cac2ed3359ec03c,s40_33056bda4cce5bba649a,True,True,True,False,False,0.2542708433333333,0.23794306789975173,-0.01632777543358155
RZ_p10_m10_m0_s24_p,0.28,0.5,s40_de25a791251907b6bf63,s40_7506a93c724f77220a41,True,True,True,False,False,0.2542708433333333,0.2377742390552603,-0.01649660427807298
RZ_p10_m10_m1_s04_m,0.08,0.5,s40_0b35b59dd38e20001c12,s40_d1bf5c162d05bb6a42f7,True,True,True,False,False,0.25132541333333325,0.2350111418769012,-0.01631427145643205
RZ_p10_m10_m1_s04_m,0.12,0.5,s40_c7dde9a1905e3ffc39b2,s40_3b798a5decd5f36d4350,True,True,True,False,False,0.24969102333333326,0.2344027326429734,-0.015288290690359863
RZ_p10_m10_m1_s04_m,0.16,0.5,s40_621dabbdad1c95dc2b2d,s40_7d82d657f0d4ed335e1d,True,True,True,False,False,0.24854424666666652,0.23433006577097315,-0.014214180895693374
RZ_p10_m10_m1_s04_m,0.2,0.5,s40_0505da42ad5fe0dec033,s40_427691555e0e5375a67a,True,True,True,False,False,0.24965103333333338,0.23305634458392166,-0.016594688749411723
RZ_p10_m10_m1_s04_m,0.28,0.5,s40_915c9a23c52e22dfc25a,s40_42aee18016316d0c9ecf,True,True,True,False,False,0.2424944533333333,0.22718169915432584,-0.01531275417900746
RZ_p10_m10_m1_s04_p,0.08,0.5,s40_2481e29545f4fc12efee,s40_bafbdf29e1c2dce59f16,True,True,True,False,False,0.25568013999999994,0.23547609795544377,-0.02020404204455617
RZ_p10_m10_m1_s04_p,0.12,0.5,s40_e2eb7f925ea2d4c73ec5,s40_c8b4ad111ac4dcad478c,True,True,True,False,False,0.25606524666666663,0.23478283381692322,-0.021282412849743415
RZ_p10_m10_m1_s04_p,0.16,0.5,s40_3d2eb6684c303f4d09aa,s40_e5da9bf05c9b6a2769eb,True,True,True,False,False,0.2553939599999999,0.23419383569275354,-0.021200124307246382
RZ_p10_m10_m1_s04_p,0.2,0.5,s40_4fe2645e45baa3fa76c9,s40_2362dfaf37e5f88e98a8,True,True,True,False,False,0.2556507933333334,0.23554217445723102,-0.02010861887610238
RZ_p10_m10_m1_s04_p,0.28,0.5,s40_8c50a746d220ae9cd7a1,s40_86c6274a373aa8659666,True,True,True,False,False,0.25767392999999994,0.2384949403020522,-0.019178989697947735
RZ_p10_m10_m1_s12_m,0.08,0.5,s40_f730c1c6ebe9fca4212c,s40_e25a90eae0cba223be5f,True,True,True,False,False,0.24377590000000116,0.22964618159913464,-0.01412971840086652
RZ_p10_m10_m1_s12_m,0.12,0.5,s40_ee24308e72e2984cb133,s40_48b53d73b8bd8463b0de,True,True,True,False,False,0.2362605666666675,0.21093993449967385,-0.02532063216699365
RZ_p10_m10_m1_s12_m,0.16,0.5,s40_a165d66c5e19ca96adc6,s40_412befc6a187c546f13e,True,True,True,False,False,0.22885326666666483,0.18785413338081414,-0.0409991332858507
RZ_p10_m10_m1_s12_m,0.2,0.5,s40_b07202e0677d932374a5,s40_06868e2b28cdb6d5bb2a,True,True,True,False,False,0.22123680000000112,0.18015754314183974,-0.041079256858161384
RZ_p10_m10_m1_s12_m,0.28,0.5,s40_48a9bbe86f6ace814b99,s40_d134ae474452891d3cc8,True,True,True,False,False,0.2073868666666654,0.18546476882717955,-0.021922097839485843
RZ_p10_m10_m1_s12_p,0.08,0.5,s40_f5a8fa1a6fd276bf1de6,s40_e0620b07e30ef68296a2,True,True,True,False,False,0.24409690459518263,0.23376498997851125,-0.010331914616671378
