scenario,category,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
R_p3p3,in_domain,0.5,s40_d6665ef7cedc4b5c42b8,s40_b869d6d840a5c6c67613,True,True,True,False,False,0.38063497998455764,0.36580195933358706,-0.014833020650970585
R_p6p2,in_domain,0.5,s40_3b1bf2b33323a3ba30c7,s40_9070d89567c30b759cad,True,True,True,False,False,0.35574963333333454,0.34056423315502904,-0.015185400178305497
R_p8p8,in_domain,0.5,s40_1889d1cca656427d33db,s40_d23826303a7b6f43a10c,True,True,True,False,False,0.32034766666666403,0.32057179999999774,0.00022413333333370922
Z_m1p3,in_domain,0.5,s40_e847c188f9c3c4aef476,s40_a70f8a63e2d38a5dc7f6,True,True,True,False,False,0.392723284114212,0.4023124169159248,0.009589132801712807
Z_m4p2,in_domain,0.5,s40_b1ae2eaccdc6eb56b593,s40_a977676565d56fd1efc4,True,True,True,False,False,0.36339653000000005,0.4054504133333333,0.042053883333333264
Z_m6p4,in_domain,0.5,s40_cb2d951f3c2e7727feff,s40_daf83f68a6a6aba6bafc,True,True,True,False,False,0.32145578666666663,0.3611070466666666,0.039651259999999966
Z_m8p6,in_domain,0.5,s40_1ae30c7e76e5613951c2,s40_fcc088324d785b08f189,True,True,True,False,False,0.31292471333333327,0.33406797333333327,0.021143259999999997
RZ_p3p3_m4p2,in_domain,0.5,s40_38f7db40c5df51a76d9c,s40_1d7a987ed4ed37a88f0e,True,True,True,False,False,0.36002126345286534,0.40464937666666656,0.044628113213801224
RZ_p6p2_m8p6,in_domain,0.5,s40_aa90da26e2e82245bb7f,s40_d98f849f7efe6952d813,True,True,True,False,False,0.24098489666666656,0.29348141000000005,0.052496513333333494
RZ_p8p8_m3p3,in_domain,0.5,s40_2c615d248b3c0f18b1bf,s40_1650abb8029b940f0f0c,True,True,True,False,False,0.2929364666666665,0.307423833333334,0.0144873666666675
RZ_p2p5_m7p0,in_domain,0.5,s40_546e81f878c9033b335f,s40_b681b1db0bbc91fb66d9,True,True,True,False,False,0.33311510666666666,0.3541685033333333,0.021053396666666613
RZ_p7p0_m2p5,in_domain,0.5,s40_50645bbdb4733f588859,s40_1f5b8924b0ac2baf40bd,True,True,True,False,False,0.3225103666666682,0.28825349209398987,-0.03425687457267834
Ip_m300,in_domain,0.5,s40_1cab0ff277ffe463fe7d,s40_4836b3b70ebb8fb546d5,True,True,True,False,False,0.38638815424689144,0.4341506041479405,0.04776244990104905
Ip_p300,in_domain,0.5,s40_3208cdd94a9808f19075,s40_1f6b45e7476e3d48d53e,True,True,True,False,False,0.38638815424689144,0.4217493921942538,0.035361237947362345
Ip_m600,in_domain,0.5,s40_3262732093c220d6914a,s40_aef688e324cbd56f0b40,True,True,True,False,False,0.4088166725439011,0.47361767468612304,0.06480100214222195
Ip_p600,in_domain,0.5,s40_d6855e1fe856c3bad991,s40_ce1f98992dcb405ced1b,True,True,True,False,False,0.3582660101142383,0.41327047506590464,0.05500446495166633
Ip_m1500,extrapolation,0.5,s40_809a9253db2388dce9c0,s40_870512ed732c9f4c8be7,True,True,True,False,False,0.29572854999999987,0.3146911499999987,0.01896259999999883
Ip_p1500,extrapolation,0.5,s40_02083560ada053f6b353,s40_758e23673d82e06abc10,True,True,True,False,False,0.3901629567110395,0.265689225469259,-0.12447373124178052
R_m5_Z_p5,extrapolation,0.5,s40_0a202db2925ac3a00dbe,s40_cafccc7c9204f41f0d89,True,True,True,False,False,0.38483150330006355,0.31636636168574483,-0.06846514161431871
R_m8_Z_p8,extrapolation,0.5,s40_84ebe379201a7372998d,s40_f474087464e066f742c6,True,True,True,False,False,0.3979031240779315,0.32583520681887124,-0.07206791725906025
