scenario,category,environment_variant,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__noise_low_s0,software_uncertainty,base,0.5,s40_fef0feda55bd3de3c792,s40_487fae652d4be234cb38,True,True,True,False,False,0.3936988233333333,0.4655842850990084,0.07188546176567512
nominal__noise_low_s1,software_uncertainty,base,0.5,s40_26a09f8633ed840831a3,s40_6c07aca93a4b11b6f0e0,True,True,True,False,False,0.3936988233333333,0.45975243,0.06605360666666671
nominal__noise_low_s2,software_uncertainty,base,0.5,s40_2b6068b5c82748710c56,s40_f51222d519075cf6a775,True,True,True,False,False,0.3936988233333333,0.4127187033333334,0.0190198800000001
nominal__noise_med_s0,software_uncertainty,base,0.5,s40_4a02e65ba625f8060751,s40_ec6f87f585edc9e85f83,True,True,True,False,False,0.3936988233333333,0.3969036566666666,0.0032048333333333234
nominal__noise_med_s1,software_uncertainty,base,0.5,s40_46b55c9a2b0f7a938866,s40_e3d6a7280efde9bbb98e,True,True,True,False,False,0.3936988233333333,0.36668359040940135,-0.02701523292393193
nominal__noise_med_s2,software_uncertainty,base,0.5,s40_8b39be68b58b325dfc3f,s40_c54d529bd3a9a087cb07,True,True,True,False,False,0.3936988233333333,0.07237426877588149,-0.3213245545574518
nominal__noise_high_s0,software_uncertainty,base,0.5,s40_4a800b78e337ce533765,s40_6ad5d8aa91929649afee,True,True,True,False,False,0.3936988233333333,0.08394724376240903,-0.30975157957092425
nominal__noise_high_s1,software_uncertainty,base,0.5,s40_5750a11371db919ab0fb,s40_4b5aafe03be9a486e49d,True,True,True,False,False,0.3936988233333333,0.37639121,-0.017307613333333305
nominal__noise_high_s2,software_uncertainty,base,0.5,s40_9619b7459622c3599921,s40_88ed4fd3751673d8bee1,True,True,True,False,False,0.3936988233333333,0.25108062,-0.1426182033333333
nominal__observation_delay_1,software_uncertainty,base,0.5,s40_8d76fa7789c39b17a57c,s40_2f8097a52700e6990a7e,True,True,True,False,False,0.3936988233333333,0.4636535833333333,0.06995476
nominal__observation_delay_2,software_uncertainty,base,0.5,s40_30ce497ae45ca36c3971,s40_7af32b98f6052b6ae6b1,True,True,True,False,False,0.3936988233333333,0.43770901666666673,0.04401019333333345
nominal__action_delay_1,software_uncertainty,base,0.5,s40_4d6b41aa20af8bc18f33,s40_15ccfecb76d2436495c0,True,False,False,False,True,0.20398574000000003,-0.26313185835831465,-0.4671175983583147
nominal__gain_all_m10,software_uncertainty,base,0.5,s40_c117305e4790d7bf9f9c,s40_53eeb8c7127f21f55de9,True,True,True,False,False,0.2568906266666666,0.45804899,0.20115836333333337
nominal__gain_all_m5,software_uncertainty,base,0.5,s40_243d2214f489b058f88a,s40_361ab6f209b33ff24cbb,True,True,True,False,False,0.40474040245263965,0.4519611966666667,0.04722079421402703
nominal__gain_all_p5,software_uncertainty,base,0.5,s40_768476de4aefe52b968a,s40_c585bc3451fa0ed17eb2,True,True,True,False,False,0.2895134633333333,0.4554469166666666,0.16593345333333331
nominal__gain_all_p10,software_uncertainty,base,0.5,s40_73d6bb98474af45be984,s40_4ceb3e3b5f35d0270e6b,True,True,True,False,False,0.1722738033333333,0.44471676237032653,0.2724429590369932
nominal__gain_m1low_m2high,software_uncertainty,base,0.5,s40_3786aa52f6123d3a0f3f,s40_4216e14aa6a372b2672b,False,True,False,True,False,-0.48612859333333347,0.1688159744510298,0.6549445677843633
nominal__gain_m1high_m2low,software_uncertainty,base,0.5,s40_a0afee197580adf7c862,s40_a7ab178cb89b8101a828,True,True,True,False,False,0.21950626666666828,0.332130662610129,0.11262439594346074
nominal__model_scale_m15,software_uncertainty,base,0.5,s40_d4075ec02bfd72f72427,s40_53fa2de5370219ed2c4b,True,True,True,False,False,0.3936988233333333,0.4536583833333333,0.05995956000000002
nominal__model_scale_p15,software_uncertainty,base,0.5,s40_1625aee6c78340923948,s40_50f67815dc51bf293d17,True,True,True,False,False,0.3936988233333333,0.45074331666666656,0.05704449333333328
nominal__bias_Rp0p5_Zm0p5,software_uncertainty,base,0.5,s40_07bc17798e83e096f85e,s40_d8f1aee9dd9dd7d35f3c,True,True,True,False,False,0.3936988233333333,0.43226428333333333,0.03856546000000005
nominal__bias_Rm0p5_Zp0p5,software_uncertainty,base,0.5,s40_3579e68b9e1422c99d1f,s40_b07260d266c4c90a0dc9,True,True,True,False,False,0.3936988233333333,0.47009202000000005,0.07639319666666677
