recovery_family,recovery_level,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__m0__s04__m,0,0.5,s41_529affc5cc8780e9980e,s41_846259a3472c2db88bcf,False,True,False,True,False,-0.6709869965430812,0.1175382233333333,0.7885252198764146
nominal__m0__s04__p,0,0.5,s41_80e6d27b7ea8d962ad49,s41_c3df072e28686b674a36,False,False,False,False,False,-0.474802967977187,-0.10737267801603467,0.36743028996115235
nominal__m1__s04__m,0,0.5,s41_afb72eeb16089257016a,s41_0dfdab987cc89d0a46f2,False,True,False,True,False,-0.18160633333333331,0.06281113333333199,0.2444174666666653
nominal__m1__s04__p,0,0.5,s41_25b7ceb26335ccb51671,s41_680d3225007af30f73a2,True,True,True,False,False,0.3963706925065633,0.05607399503181232,-0.340296697474751
nominal__m2__s04__m,0,0.5,s41_bfd2805e7f9b1fb71cc4,s41_9ec2e91218ccbd338727,True,True,True,False,False,0.3612752766666667,0.12165192555029558,-0.23962335111637112
nominal__m2__s04__p,0,0.5,s41_0a37ec26bdba874bc539,s41_eb13bb57bf7070cddaf4,True,False,False,False,True,0.3299615856842726,-0.006003188586235719,-0.3359647742705083
nominal__m0__s12__m,0,0.5,s41_fa1b46135865018cc84b,s41_aa64fa5e550ef93d0bae,False,True,False,True,False,-0.742625963933967,0.2546391083165418,0.9972650722505088
nominal__m0__s12__p,0,0.5,s41_c6feb5c0e887595bd67e,s41_1ce0ed7bea5d2ff0eb58,False,False,False,False,False,-0.7501657041575098,-1.1196561143058892,-0.36949041014837936
nominal__m1__s12__m,0,0.5,s41_fa9ac1d08b66893644ff,s41_02de6495c3b6417ba595,True,True,True,False,False,0.1502621799999999,0.31615145212658746,0.16588927212658755
nominal__m1__s12__p,0,0.5,s41_f3f4e3058f52215ada84,s41_d31e83b14d5e999c50c8,False,False,False,False,False,-0.39052471542090705,-0.6944268204622406,-0.3039021050413335
nominal__m2__s12__m,0,0.5,s41_d702eb9a5ab23c042da7,s41_9178e2165b7c7fe00f5f,True,True,True,False,False,0.39190762,0.12973537657868728,-0.26217224342131273
nominal__m2__s12__p,0,0.5,s41_6bf1530ff07b3f846f3d,s41_08fca303dd27ce7970a6,True,True,True,False,False,0.3884908745902059,0.058627384915812764,-0.32986348967439316
nominal__m0__s24__m,0,0.5,s41_fa79e5ea509fcbe3b1f8,s41_d6f3ab4030ccc066332b,False,False,False,False,False,-0.8383318537975513,-1.1322491830856083,-0.293917329288057
nominal__m0__s24__p,0,0.5,s41_f02da5ef0d7430099d1e,s41_f569d2a821bdad80bb71,False,True,False,True,False,-0.05838093559971069,0.10425727310227129,0.16263820870198198
nominal__m1__s24__m,0,0.5,s41_5a8016d2d975993e490b,s41_bac3bcad1082ca338a4c,True,False,False,False,True,0.08044898324274485,-0.234759898681429,-0.31520888192417384
nominal__m1__s24__p,0,0.5,s41_64290a90d24b7fb0663d,s41_5f31bb61cba90f8f265e,True,True,True,False,False,0.11742178285737004,0.10068422987187653,-0.01673755298549351
nominal__m2__s24__m,0,0.5,s41_d260e5f20ac329553bb9,s41_c1c6a5f2708e955bf534,True,True,True,False,False,0.3942568833333333,0.06501767877880882,-0.3292392045545245
nominal__m2__s24__p,0,0.5,s41_9d72a1ba6f4d456c356b,s41_f63fbfba9596764f1655,True,True,True,False,False,0.39123942,0.06831901509194938,-0.32292040490805063
RZ_p10_m10__m0__s04__m,0,0.5,s41_9107469673dcaa40f7f7,s41_99bb126c274d946503f6,False,False,False,False,False,-0.7677226366666667,-0.13643427333333347,0.6312883633333333
RZ_p10_m10__m0__s04__p,0,0.5,s41_5ea8756cc1ab11f0139b,s41_578005580238cf95d5b1,False,False,False,False,False,-0.5294785424147384,-0.3676180286161017,0.16186051379863664
RZ_p10_m10__m1__s04__m,0,0.5,s41_b4ade04bdcbfc35966c5,s41_696fe04b229961d5a7d5,False,False,False,False,False,-0.28499106666666685,-0.12953418049851906,0.1554568861681478
RZ_p10_m10__m1__s04__p,0,0.5,s41_dfea409608e901c6ca68,s41_c38039b1fc75c408d9a2,True,False,False,False,True,0.2553939599999999,-0.15191037545444575,-0.40730433545444567
RZ_p10_m10__m2__s04__m,0,0.5,s41_630d2e5f50d8610fd179,s41_7f77614838d24b4564ba,True,False,False,False,True,0.18373626666666665,-0.01265252429001218,-0.19638879095667883
RZ_p10_m10__m2__s04__p,0,0.5,s41_64f01345cebb9248005b,s41_9bd2a65226378221c527,True,False,False,False,True,0.22784825995310476,-0.1555453606138728,-0.38339362056697757
RZ_p10_m10__m0__s12__m,0,0.5,s41_8036f5f885270fd3a96b,s41_21feec7efb7bd66e8cfd,False,True,False,True,False,-0.717151515900089,0.03764297220879387,0.7547944881088828
RZ_p10_m10__m0__s12__p,0,0.5,s41_957ccdb6cd13dae88dc6,s41_9d9f0c9ffd6a5be5ba71,False,False,False,False,False,-0.9580506491632088,-1.123463707182279,-0.16541305801907025
RZ_p10_m10__m1__s12__m,0,0.5,s41_fa712e50f8966a737aa6,s41_f339f827cb992bed1f63,True,True,True,False,False,0.02642838999999997,0.21433620000000098,0.187907810000001
RZ_p10_m10__m1__s12__p,0,0.5,s41_0b93276e26261eea14f9,s41_14180b39f086aa61d903,False,False,False,False,False,-0.5917786315182103,-0.9581931008495741,-0.3664144693313638
RZ_p10_m10__m2__s12__m,0,0.5,s41_a2f854f2511eaac4d62d,s41_f47c84ae3baa33b290d1,True,False,False,False,True,0.22844206666666667,-0.0669244505246116,-0.29536651719127827
RZ_p10_m10__m2__s12__p,0,0.5,s41_93dbfbf9725fbca931cd,s41_896b0023adc234085bfe,True,False,False,False,True,0.2545615366666666,-0.1584308726026411,-0.4129924092693077
RZ_p10_m10__m0__s24__m,0,0.5,s41_d58a74cace22ff06ecd9,s41_6bde7dad9600ecf76243,False,False,False,False,False,-0.7831037835968511,-0.7560471864630769,0.027056597133774174
RZ_p10_m10__m0__s24__p,0,0.5,s41_105b5389f02352212621,s41_b39351abe9c90bed664f,False,False,False,False,False,-0.16105003079017277,-0.14971866243712162,0.011331368353051152
RZ_p10_m10__m1__s24__m,0,0.5,s41_336559abde2aee91624c,s41_0e69baa236a3e7620630,True,False,False,False,True,0.15349873333333397,-0.18688363008455133,-0.3403823634178853
RZ_p10_m10__m1__s24__p,0,0.5,s41_7757fd0f6d8863cebb24,s41_7fae4929d56106b2e8d4,False,False,False,False,False,-0.11224313318062329,-0.15147551690379046,-0.039232383723167175
RZ_p10_m10__m2__s24__m,0,0.5,s41_41cd5c1fc39dbafdd430,s41_05253db63452497259e4,True,False,False,False,True,0.2542708433333333,-0.14833874823850723,-0.4026095915718405
RZ_p10_m10__m2__s24__p,0,0.5,s41_74607f3e6e2d52c4da41,s41_d6add8b14bfed4ba65c3,True,False,False,False,True,0.2542708433333333,-0.14762917696330158,-0.40190002029663485
nominal__m1__s04__p,1,0.5,s41_da502cc892f19e839cfe,s41_cb1393c1119153907bb6,True,True,True,False,False,0.39120791662554133,0.025831816772758476,-0.36537609985278285
nominal__m2__s04__m,1,0.5,s41_c06feb30e755d1baf951,s41_a7f5d4a623b0aab61df5,True,True,True,False,False,0.32772601,0.08931670479734821,-0.2384093052026518
nominal__m2__s04__p,1,0.5,s41_c8da7dd6df2f790d3014,s41_d8640b539f131bd36b0e,True,True,True,False,False,0.3114012966666666,0.014541352537628782,-0.2968599441290378
nominal__m1__s12__m,1,0.5,s41_5ea78cdaf5c05bf3a256,s41_04a43c4babf549e71979,True,True,True,False,False,0.0831841666666675,0.2615781067189181,0.17839394005225062
nominal__m2__s12__m,1,0.5,s41_7993330b062872b7e6ed,s41_375b6e5a6f365dbc5543,True,True,True,False,False,0.3910341666666667,0.16540867432439643,-0.22562549234227025
nominal__m2__s12__p,1,0.5,s41_2b990819597a28b4c4cb,s41_49b20a70dbdffd3b0056,True,True,True,False,False,0.3780514902321621,0.05819640349683419,-0.3198550867353279
nominal__m1__s24__m,1,0.5,s41_e09f471c043a5d675dd8,s41_a6a442506ddba432862a,False,False,False,False,False,-0.28402004375720624,-0.4473071217125755,-0.16328707795536923
nominal__m1__s24__p,1,0.5,s41_d77a4c18edb6062ee494,s41_cd582b409007f1d5b394,False,False,False,False,False,-0.2304968144997177,-0.14695173304136255,0.08354508145835515
nominal__m2__s24__m,1,0.5,s41_9725057006dec6bf3d42,s41_761ade35afbfbb0a8a08,True,True,True,False,False,0.3942568833333333,0.05423367680948599,-0.3400232065238473
nominal__m2__s24__p,1,0.5,s41_73273609efd0025d101f,s41_c8dfe0d07a4b31e51596,True,True,True,False,False,0.39192228666666673,0.05187622147601012,-0.3400460651906566
RZ_p10_m10__m1__s04__p,1,0.5,s41_acf113737fa49e200900,s41_7c2d1c01fdf523086fa7,True,False,False,False,True,0.2599758133333333,-0.13255325634303539,-0.3925290696763687
RZ_p10_m10__m2__s04__m,1,0.5,s41_6e2c612a3345e85d295c,s41_5b82f57a95993939cb28,True,False,False,False,True,0.1218768000000009,-0.04209547530399149,-0.1639722753039924
RZ_p10_m10__m2__s04__p,1,0.5,s41_68114bc2dc6f0f851da0,s41_10c5100feedd9b165287,True,False,False,False,True,0.19078745333333325,-0.16849683771165336,-0.3592842910449866
RZ_p10_m10__m1__s12__m,1,0.5,s41_abc021d3656c44a65f45,s41_87338968b07d3e92deb0,False,True,False,True,False,-0.12438686666666765,0.1591908000000003,0.28357766666666795
RZ_p10_m10__m2__s12__m,1,0.5,s41_70b59a2023fd3795bdb7,s41_81acba81e3f2e8eae77c,True,False,False,False,True,0.19601383333333333,-0.0006011275234174551,-0.1966149608567508
RZ_p10_m10__m2__s12__p,1,0.5,s41_598477e20850466249ef,s41_1097b0dc0f850af29558,True,False,False,False,True,0.2523034966666666,-0.16472288076826613,-0.41702637743493276
RZ_p10_m10__m1__s24__m,1,0.5,s41_bcd8db6646ab518ebfb2,s41_89d2c620d5dac390d6fd,False,False,False,False,False,-0.1373760819739933,-0.3099341630838919,-0.17255808110989856
RZ_p10_m10__m2__s24__m,1,0.5,s41_d21fe755c93d2adfac55,s41_019b1aefe5da6acff084,True,False,False,False,True,0.2542708433333333,-0.14859890723816638,-0.40286975057149965
RZ_p10_m10__m2__s24__p,1,0.5,s41_215a36d9d8a69cc4c4b2,s41_2047e0a0efb4208c3ab2,True,False,False,False,True,0.2542708433333333,-0.1472240964860192,-0.40149493981935247
nominal__m1__s04__p,2,0.5,s41_7b79bfd5e062e685a92f,s41_c4e88fa3a5d096de0eea,True,False,False,False,True,0.27224280431448766,-0.051310221446446924,-0.3235530257609346
nominal__m2__s04__m,2,0.5,s41_f5b34d62e3b2c9231717,s41_7c62c6d960a24cccc986,True,True,True,False,False,0.3741704966666667,0.11738920523469143,-0.25678129143197526
nominal__m2__s04__p,2,0.5,s41_a5ed390349740ba8015a,s41_e78acc32c07b7375c4ba,True,False,False,False,True,0.16905572908127464,-0.2054545997571786,-0.37451032883845325
nominal__m1__s12__m,2,0.5,s41_29224afa7d69ae1dee6a,s41_1563a4976015ad4d55e5,False,True,False,True,False,-0.22799846666666523,0.14131060916713478,0.3693090758338
nominal__m2__s12__m,2,0.5,s41_ccb11cc3eb26ecfa6aa8,s41_bbd24d33340d0a4fa527,True,True,True,False,False,0.37506136666666523,0.18303621337375642,-0.1920251532929088
nominal__m2__s12__p,2,0.5,s41_cbe77e9e3f6f1200deb9,s41_def1a193cd979aa5dd0b,True,True,True,False,False,0.3608032214788234,0.06274665838471327,-0.2980565630941101
nominal__m2__s24__m,2,0.5,s41_b7144d95473e1493f30a,s41_8b5013439d19d53c25ca,True,True,True,False,False,0.3942568833333333,0.005704959609124649,-0.38855192372420866
nominal__m2__s24__p,2,0.5,s41_45cd2f84ff8bad96a5e8,s41_3a5f6e820d7ad705d45b,True,True,True,False,False,0.38867918999999995,0.026726166733313184,-0.36195302326668677
RZ_p10_m10__m1__s04__p,2,0.5,s41_967d534c2d2f7dd02813,s41_ded52bdbfcbe3ee9e56b,True,False,False,False,True,0.10617626049292794,-0.20786145893998875,-0.3140377194329167
RZ_p10_m10__m2__s04__m,2,0.5,s41_48e43991f8f132e6cce2,s41_59032fcf46d2d4a26fa2,True,True,True,False,False,0.12984259999999914,0.03434730675780251,-0.09549529324219663
RZ_p10_m10__m2__s04__p,2,0.5,s41_b164499b9a35be3ec307,s41_7da12ab7bab7386c6d77,True,False,False,False,True,0.031048566183927373,-0.308024668613641,-0.33907323479756835
RZ_p10_m10__m2__s12__m,2,0.5,s41_c84ec6e11877aef15d91,s41_c367f4ee2ab246b09b18,True,True,True,False,False,0.18716583333333126,0.015554578620727288,-0.17161125471260397
RZ_p10_m10__m2__s12__p,2,0.5,s41_95ebe73343dc448aa852,s41_f4e00b9a23415baf1d53,True,False,False,False,True,0.23569816059315063,-0.18575675298323757,-0.4214549135763882
RZ_p10_m10__m2__s24__m,2,0.5,s41_4e41836ceda272bbe7d3,s41_86daf768fa15fd3c9e75,True,False,False,False,True,0.2542708433333333,-0.14833874823850723,-0.4026095915718405
RZ_p10_m10__m2__s24__p,2,0.5,s41_389d82b2dfaf93da3952,s41_5254f5c5a55c87754807,True,False,False,False,True,0.2542708433333333,-0.14766158175815414,-0.4019324250914874
