recovery_family,open_loop_failure_reached,first_failure_level,first_failure_baseline_margin,first_failure_feedback_margin,recovered_at_first_failure,last_pass_level,last_pass_baseline_margin,disturbance_envelope_reached
nominal__m0__s04__m,True,0,-0.6709869965430812,0.1175382233333333,True,,,True
nominal__m0__s04__p,True,0,-0.474802967977187,-0.10737267801603467,False,,,True
nominal__m1__s04__m,True,0,-0.18160633333333331,0.06281113333333199,True,,,True
nominal__m1__s04__p,True,5,-0.18257347710537908,-0.3786947293784493,False,4,0.05123937932968403,True
nominal__m2__s04__m,False,,,,False,6,0.09961646666666601,False
nominal__m2__s04__p,True,4,-0.009405660253787751,-0.3245997940587486,False,3,0.08165812004644446,True
nominal__m0__s12__m,True,0,-0.742625963933967,0.2546391083165418,True,,,True
nominal__m0__s12__p,True,0,-0.7501657041575098,-1.1196561143058892,False,,,True
nominal__m1__s12__m,True,2,-0.22799846666666523,0.14131060916713478,True,1,0.0831841666666675,True
nominal__m1__s12__p,True,0,-0.39052471542090705,-0.6944268204622406,False,,,True
nominal__m2__s12__m,False,,,,False,6,0.04132656666666534,False
nominal__m2__s12__p,False,,,,False,6,0.2661557991522939,False
nominal__m0__s24__m,True,0,-0.8383318537975513,-1.1322491830856083,False,,,True
nominal__m0__s24__p,True,0,-0.05838093559971069,0.10425727310227129,True,,,True
nominal__m1__s24__m,True,1,-0.28402004375720624,-0.4473071217125755,False,0,0.08044898324274485,True
nominal__m1__s24__p,True,1,-0.2304968144997177,-0.14695173304136255,False,0,0.11742178285737004,True
nominal__m2__s24__m,False,,,,False,6,0.383621376852849,False
nominal__m2__s24__p,True,6,-0.2347063164769585,-0.31708204482697155,False,5,0.050294910655883096,True
RZ_p10_m10__m0__s04__m,True,0,-0.7677226366666667,-0.13643427333333347,False,,,True
RZ_p10_m10__m0__s04__p,True,0,-0.5294785424147384,-0.3676180286161017,False,,,True
RZ_p10_m10__m1__s04__m,True,0,-0.28499106666666685,-0.12953418049851906,False,,,True
RZ_p10_m10__m1__s04__p,True,4,-0.053900722297546055,-0.337861414321996,False,3,0.025841431951696414,True
RZ_p10_m10__m2__s04__m,True,5,-0.023942733333334854,0.02692621401239048,True,4,0.0126892666666647,True
RZ_p10_m10__m2__s04__p,True,3,-0.032707373729455425,-0.334062877907628,False,2,0.031048566183927373,True
RZ_p10_m10__m0__s12__m,True,0,-0.717151515900089,0.03764297220879387,True,,,True
RZ_p10_m10__m0__s12__p,True,0,-0.9580506491632088,-1.123463707182279,False,,,True
RZ_p10_m10__m1__s12__m,True,1,-0.12438686666666765,0.1591908000000003,True,0,0.02642838999999997,True
RZ_p10_m10__m1__s12__p,True,0,-0.5917786315182103,-0.9581931008495741,False,,,True
RZ_p10_m10__m2__s12__m,True,4,-0.015004000000000906,-0.00868325968273953,False,3,0.08939599999999992,True
RZ_p10_m10__m2__s12__p,False,,,,False,6,0.13377844204293454,False
RZ_p10_m10__m0__s24__m,True,0,-0.7831037835968511,-0.7560471864630769,False,,,True
RZ_p10_m10__m0__s24__p,True,0,-0.16105003079017277,-0.14971866243712162,False,,,True
RZ_p10_m10__m1__s24__m,True,1,-0.1373760819739933,-0.3099341630838919,False,0,0.15349873333333397,True
RZ_p10_m10__m1__s24__p,True,0,-0.11224313318062329,-0.15147551690379046,False,,,True
RZ_p10_m10__m2__s24__m,False,,,,False,6,0.2542708433333333,False
RZ_p10_m10__m2__s24__p,True,4,-0.08431652909798326,-0.14728368336250797,False,3,0.1739704396784787,True
