recovery_family,recovery_level,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__m1__s04__p,3,0.5,s41_7f638020c0a7cd67fc77,s41_c2658f05b7157347ff45,True,False,False,False,True,0.1537171882038747,-0.09961125286158534,-0.25332844106546004
nominal__m2__s04__m,3,0.5,s41_3af256c86e21974cf2d6,s41_6daf80c4c756d782b088,True,True,True,False,False,0.3374624666666668,0.09850441337343208,-0.23895805329323472
nominal__m2__s04__p,3,0.5,s41_2c4f319a2cdf3f19ab32,s41_2a52c21cdd7e68c5680e,True,False,False,False,True,0.08165812004644446,-0.2622585420208525,-0.343916662067297
nominal__m2__s12__m,3,0.5,s41_ad394b9ce43182008c24,s41_70d79b427821a37770bf,True,True,True,False,False,0.26140260000000004,0.2688790404203871,0.007476440420387087
nominal__m2__s12__p,3,0.5,s41_d506cf504bf327ef30c5,s41_78c56b7673d75095cd1b,True,True,True,False,False,0.3472673360414068,0.057355084806907874,-0.28991225123449893
nominal__m2__s24__m,3,0.5,s41_b3170ee4dcda7f65b2c2,s41_aac3eaf73542b52f8323,True,False,False,False,True,0.3942568833333333,-0.027560415280288186,-0.4218172986136215
nominal__m2__s24__p,3,0.5,s41_e767ab133f9b900e2f33,s41_b4e699ad8027fb86f2b9,True,False,False,False,True,0.2629906695183909,-0.03135354725220396,-0.29434421677059486
RZ_p10_m10__m1__s04__p,3,0.5,s41_23a72e23bb6116ff7696,s41_4faa34f35732f9e362a4,True,False,False,False,True,0.025841431951696414,-0.3662260590058368,-0.39206749095753324
RZ_p10_m10__m2__s04__m,3,0.5,s41_8074fd06ae35a990b383,s41_405c5d42c0590a280692,True,True,True,False,False,0.07241466666666752,0.05551528585789167,-0.016899380808775843
RZ_p10_m10__m2__s04__p,3,0.5,s41_c33ef3b650a82dad1920,s41_ea30b29f58ab438da731,False,False,False,False,False,-0.032707373729455425,-0.334062877907628,-0.3013555041781726
RZ_p10_m10__m2__s12__m,3,0.5,s41_6a9359a4426189dd3c04,s41_66d9e5ac89fb274373e5,True,True,True,False,False,0.08939599999999992,0.02495231258697239,-0.06444368741302753
RZ_p10_m10__m2__s12__p,3,0.5,s41_d9b02e65c76b459536fd,s41_a02f01ef340dce0e0f22,True,False,False,False,True,0.2187696292564305,-0.19956359604721907,-0.4183332253036496
RZ_p10_m10__m2__s24__m,3,0.5,s41_9a5a6f0cfea9f3df0fd2,s41_c40a3e43f55fcc88064b,True,False,False,False,True,0.2542708433333333,-0.1484766006471936,-0.40274744398052686
RZ_p10_m10__m2__s24__p,3,0.5,s41_9473b9cf0de2325b9761,s41_68385f36b24ca79ed8af,True,False,False,False,True,0.1739704396784787,-0.14747439735693946,-0.32144483703541815
