scenario,category,environment_variant,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__observation_delay_1,observation_delay,base,0.5,s41_20c529d73524fe384809,s41_454cc4aa65966216b07c,True,False,False,False,True,0.3936988233333333,-0.08775875863258431,-0.4814575819659176
nominal__observation_delay_2,observation_delay,base,0.5,s41_e0242afc32f32bbd6598,s41_1c5fc8e685b9aca0b588,True,False,False,False,True,0.3936988233333333,-0.15159119393408216,-0.5452900172674154
nominal__action_delay_1_matched,matched_action_delay,base,0.5,s41_97dd3b5d0c0ff9032732,s41_d57c077e1b48a530016d,True,False,False,False,True,0.3936988233333333,-0.19997480470089402,-0.5936736280342273
nominal__action_delay_2_matched,matched_action_delay,base,0.5,s41_89e6e01d8dfd3ef02b85,s41_0cc39e688cb38757c4ce,True,False,False,False,True,0.3936988233333333,-0.10563681861570418,-0.49933564194903746
nominal__action_delay_1_unmodeled,diagnostic_unmodeled_delay,base,0.5,s41_e618093e3e59f1c00730,s41_bf9e34105a9a1f963779,True,False,False,False,True,0.20398574000000003,-0.6089221869760928,-0.8129079269760928
nominal__gain_all_m10_matched,scheduled_gain,base,0.5,s41_bfe36ff5584c26e88617,s41_5018b4a1a35a73b4736a,True,True,True,False,False,0.3881974066666667,0.009640219021954666,-0.378557187644712
nominal__gain_all_p10_matched,scheduled_gain,base,0.5,s41_3200b656328970c82120,s41_738d76348598b2135a1d,True,False,False,False,True,0.3936988233333333,-0.022231852310320432,-0.4159306756436537
nominal__gain_m1low_m2high_matched,scheduled_gain,base,0.5,s41_4d5cc383603f822b9e8e,s41_7e0a70236c1648af7883,True,True,True,False,False,0.3936988233333333,0.009511567501832574,-0.3841872558315007
nominal__gain_m1high_m2low_matched,scheduled_gain,base,0.5,s41_68fe9cef7a16b12cc97c,s41_e5e7b9f1848447db76f6,True,True,True,False,False,0.3936988233333333,0.03887404139801387,-0.3548247819353194
nominal__gain_estimation_error_5pct,gain_estimation_error,base,0.5,s41_215c118f9a7e6352e613,s41_05d03ae485e5ac4d575a,False,True,False,True,False,-0.05278051666666683,0.016143197129138143,0.06892371379580498
nominal__model_scale_m15,controller_model_scale,base,0.5,s41_477d9f70c37c0792a44a,s41_fe4db5a040a034829e5c,True,False,False,False,True,0.3936988233333333,-0.08763533839405735,-0.48133416172739063
nominal__model_scale_p15,controller_model_scale,base,0.5,s41_96a9a1b5f9472449af3f,s41_67feec41c1fcb6c901a6,True,True,True,False,False,0.3936988233333333,0.05163070483068022,-0.34206811850265306
nominal__combined_gain_delay_matched,combined_scheduled,base,0.5,s41_7298f669285b68c9790c,s41_34ded12ff275e2f0022e,True,False,False,False,True,0.3936988233333333,-0.15623735501349345,-0.5499361783468267
nominal__slew_0p9_matched,scheduled_slew,slew_0p9,0.5,s41_52514420f64af528ab44,s41_1f2a913b17d390f700a9,False,False,False,False,False,-0.5439886366666666,-0.03629351000000014,0.5076951266666665
nominal__slew_1p1_matched,scheduled_slew,slew_1p1,0.5,s41_88e271273979b5a228cd,s41_cb50eb8b1523bd3eff7a,False,False,False,False,False,-0.06520759607815263,-0.3258090507747411,-0.26060145469658846
nominal__slew_0p9_unmodeled,diagnostic_unmodeled_slew,slew_0p9,0.5,s41_fb00ef2e3d2ef60c3eac,s41_a341a3bf264525581729,False,False,False,False,False,-0.3371543566666668,-0.14225246788772328,0.19490188877894354
RZ_p10_m10__observation_delay_1,observation_delay,base,0.5,s41_a3710f2c5604912091e5,s41_5b2dee1ebd75f56b4166,True,False,False,False,True,0.2542708433333333,-0.12305972891579109,-0.37733057224912436
RZ_p10_m10__observation_delay_2,observation_delay,base,0.5,s41_acb75ebccd7e99a42aa2,s41_b7cdbe88ec0a3719d424,True,False,False,False,True,0.2542708433333333,-0.17703687740316765,-0.4313077207365009
RZ_p10_m10__action_delay_1_matched,matched_action_delay,base,0.5,s41_845a02baed4f78494643,s41_e27fbc99f4cdc73d81a6,True,False,False,False,True,0.2542708433333333,-0.27675011431912133,-0.5310209576524546
