experiment_id,phase,policy_id,target_id,actual_delay_steps,actual_slew_scale,calibration_token,environment_success,failure_reason,formal_arrival_deadline_step,formal_hold_through_step,formal_contract_tracking_pass,formal_contract_minimum_signed_margin,best_endpoint_step,limiting_component,limiting_component_margin,endpoint_late_speed_rms_m_per_s,terminal_speed_m_per_s,post_arrival_speed_rms_m_per_s,sustained_box_error_m,max_current_utilization,action_rms,delta_action_rms,first_affected_state_step,transition_issue_start_step,physics_prefix_exact,issued_prefix_exact,applied_prefix_exact,prefix_max_abs_difference,no_future_measurement,streaming_queue_consistent,first_effect_alignment_exact,early_braking_activated,r13_composite_pass,physics_signature,issued_signature,applied_signature,braking_issued_signature,braking_applied_signature
s41r13_b7c85207f00f0dbc027c,oracle_development,early_brake_effect_state20,nominal,1,0.9,,True,,27,37,False,-0.08761805607278061,27,endpoint_late_speed,-0.08761805607278061,0.10876180560727806,0.027995884619509467,0.04169308375700814,0.015391237999999974,0.41174999999999995,0.28013271161291725,0.2122835831774816,20,18,True,True,True,0.0,True,True,True,True,False,physics_f5b79de26bac3658c1eb,issued_195886c674c71af82aeb,applied_ea577255328a9ca122fa,brakingissued_1ed4f59ee0cbbbe54ece,brakingapplied_c9182d5bc8b54de3b77c
s41r13_f10069f6fb7ce95775fb,oracle_development,early_brake_effect_state20,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.2909845395896773,27,endpoint_late_speed,-0.2909845395896773,0.12909845395896774,0.032385371674293215,0.053077605522626935,0.02173177100000001,0.41195,0.28111062001065645,0.20918346817393685,20,18,True,True,True,0.0,True,True,True,True,False,physics_8bc253c626bc7c314582,issued_06cdf5164b9c3a90b44c,applied_25ec15c68b69c829ef02,brakingissued_d5014d2fe7032599636e,brakingapplied_add25733db9d4bd03012
s41r13_3d3f07340f41492eb77c,oracle_development,early_brake_effect_state20,nominal,2,0.9,,True,,27,37,False,-0.07186485683913224,27,endpoint_late_speed,-0.07186485683913224,0.10718648568391323,0.031152325054680956,0.041923918899079385,0.01559692300000004,0.41174999999999995,0.28107246926730256,0.21197650348887134,20,17,True,True,True,0.0,True,True,True,True,False,physics_c46ea706c4fd83e98bc6,issued_ac33cca843c080c912e2,applied_27a1453db5ac59012cb4,brakingissued_b4f1e744964c18a1fa29,brakingapplied_d3dc23d64eeb00854de2
s41r13_65818c1e2052c9698810,oracle_development,early_brake_effect_state20,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.26026703994861067,27,endpoint_late_speed,-0.26026703994861067,0.12602670399486107,0.034828024402842495,0.05155383484785918,0.022004835000000056,0.41195,0.28222241666374903,0.20878487088002995,20,17,True,True,True,0.0,True,True,True,True,False,physics_ae57ddd417098c06e4c4,issued_1b5426a8fe785ee66511,applied_12b5230d9739562b9c11,brakingissued_57af9752c78794470f23,brakingapplied_25103bc8a99f4b53bb0f
s41r13_fd356d96a156f90417aa,oracle_development,early_brake_effect_state21,nominal,1,0.9,,True,,27,37,False,-0.14106538696306425,27,endpoint_late_speed,-0.14106538696306425,0.11410653869630642,0.031458464258397684,0.04446553262633953,0.015458980000000011,0.41174999999999995,0.2801018536390602,0.2123581781061515,21,19,True,True,True,0.0,True,True,True,True,False,physics_8f5ff9d3e1d3845245d9,issued_ca3591b713730c2200bf,applied_8951f0dd1249bb724eb4,brakingissued_06b5cb05fad97832eb3b,brakingapplied_7b8a98dbe4ff70ed4b90
s41r13_973af7f40b91f3d600b1,oracle_development,early_brake_effect_state21,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.30668652905714167,27,endpoint_late_speed,-0.30668652905714167,0.13066865290571417,0.03209030144482055,0.05449224394762222,0.02166619000000003,0.41195,0.28113755374344546,0.20928560929656148,21,19,True,True,True,0.0,True,True,True,True,False,physics_e7cf233c6077f6ccedc3,issued_6120464582c242db360b,applied_735ec9a7bd91c1cf99df,brakingissued_e000c4408ff78b25b4fb,brakingapplied_66f25996a3b4f339f43a
s41r13_3715282e9921ea045508,oracle_development,early_brake_effect_state21,nominal,2,0.9,,True,,27,37,False,-0.015339798645994218,27,endpoint_late_speed,-0.015339798645994218,0.10153397986459943,0.024840557263549293,0.03824076419986548,0.015608822999999994,0.41174999999999995,0.2811469853369268,0.21217536266629114,21,18,True,True,True,0.0,True,True,True,True,False,physics_440bdeaf19161225eca8,issued_715ac00729987152c72f,applied_b6ff06b8cf8f141b02d6,brakingissued_21f128a4ec53f66486bd,brakingapplied_bbf819df312104675ec8
s41r13_cf31303b78d383e83881,oracle_development,early_brake_effect_state21,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.18046230745557756,27,endpoint_late_speed,-0.18046230745557756,0.11804623074555777,0.03384902530028452,0.047203462006302384,0.022135050000000045,0.41195,0.28232450814240345,0.20894521406719788,21,18,True,True,True,0.0,True,True,True,True,False,physics_d2a17329a00573065a94,issued_4cbbfb450cc632810700,applied_2345375500c7967b703e,brakingissued_16e89f9df05a3eacfa17,brakingapplied_e694ba471f3960a32b24
s41r13_114c5a96accddd2d33f7,oracle_development,early_brake_effect_state22,nominal,1,0.9,,True,,27,37,False,-0.04182522546187095,27,endpoint_late_speed,-0.04182522546187095,0.10418252254618711,0.017866112217179795,0.03881578008018055,0.015235884999999949,0.41174999999999995,0.28040911125952467,0.2127445341965241,22,20,True,True,True,0.0,True,True,True,True,False,physics_ff9d4307324efd42aa17,issued_c017ec43f09cb04987bf,applied_824adae777666eaeb6f1,brakingissued_47d13131e76f4da12b0b,brakingapplied_e3f6aaa14fbc4105ffe1
s41r13_842e5c5b6c6bed3eac39,oracle_development,early_brake_effect_state22,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.2059656976505999,27,endpoint_late_speed,-0.2059656976505999,0.12059656976505999,0.023738978037292854,0.05000057888840022,0.021543698,0.41195,0.28143081181733204,0.20961564132516308,22,20,True,True,True,0.0,True,True,True,True,False,physics_6d3d97dde60c5993af15,issued_9b821b71ece093bdb9bd,applied_2f86572967e2eb0653fd,brakingissued_18acf3a89d4e9bd2363b,brakingapplied_45d99c0d08f0d1311136
s41r13_402f08fe25e25e67e234,oracle_development,early_brake_effect_state22,nominal,2,0.9,,True,,27,37,True,0.007124914748438571,27,endpoint_late_speed,0.007124914748438571,0.09928750852515615,0.028532157661374097,0.04247696546367556,0.01532735399999996,0.41174999999999995,0.28142732543929144,0.2124347577576375,22,19,True,True,True,0.0,True,True,True,True,True,physics_befa8c1502260cce9955,issued_acfc71b997373aa508a5,applied_762c9b5c4e4c44d3d4f2,brakingissued_e5c2aba2b04adb283e2b,brakingapplied_c59f0d05f2791bfb5758
