experiment_id,policy_id,actual_delay_steps,environment_success,formal_contract_tracking_pass,formal_contract_minimum_signed_margin,best_endpoint_step,terminal_speed_m_per_s,limiting_component_after_r12,limiting_component_margin_after_r12,endpoint_late_speed_rms_after_r12_m_per_s,final_speed_after_r12_m_per_s,physics_prefix_exact,issued_prefix_exact,applied_prefix_exact,no_future_measurement,streaming_queue_consistent
s41r12_1e6b9fc31c8d8f965da8,brake_effect_state34,2,True,True,0.02394525271460024,27,0.046247556918934535,endpoint_late_speed,0.02394525271460024,0.09760547472853998,0.046247556918934535,True,True,True,True,True
s41r12_24408135b80c3e802bb9,brake_effect_state33,2,True,True,0.02394525271460024,27,0.029497073791459893,endpoint_late_speed,0.02394525271460024,0.09760547472853998,0.029497073791459893,True,True,True,True,True
s41r12_3c4ba2868dd3f9c977d0,brake_effect_state35,2,True,True,0.02394525271460024,27,0.07691733650783822,endpoint_late_speed,0.02394525271460024,0.09760547472853998,0.07691733650783822,True,True,True,True,True
s41r12_3ce3d9d6ea3543dc26ce,brake_effect_state33,1,True,False,-0.017279047980614193,27,0.025781576402783474,endpoint_late_speed,-0.017279047980614193,0.10172790479806142,0.025781576402783474,True,True,True,True,True
s41r12_6f53c3e75f5bbf8ca72e,brake_effect_state32,2,True,True,0.02394525271460024,27,0.028858307034062843,endpoint_late_speed,0.02394525271460024,0.09760547472853998,0.028858307034062843,True,True,True,True,True
s41r12_782f19dfe542fd79bd44,brake_effect_state35,1,True,False,-0.017279047980614193,27,0.0780582199949248,endpoint_late_speed,-0.017279047980614193,0.10172790479806142,0.0780582199949248,True,True,True,True,True
s41r12_78c461073d3dd72f6d89,brake_effect_state30,2,True,True,0.02394525271460024,27,0.02969417505623671,endpoint_late_speed,0.02394525271460024,0.09760547472853998,0.02969417505623671,True,True,True,True,True
s41r12_7fe0dd84c8cc8938d7b3,brake_effect_state32,1,True,False,-0.017279047980614193,27,0.01903698146371862,endpoint_late_speed,-0.017279047980614193,0.10172790479806142,0.01903698146371862,True,True,True,True,True
s41r12_8286b4213716b1462568,brake_effect_state34,1,True,False,-0.017279047980614193,27,0.04597334692817087,endpoint_late_speed,-0.017279047980614193,0.10172790479806142,0.04597334692817087,True,True,True,True,True
s41r12_adea423c5ef8007cd997,brake_effect_state28,2,True,True,0.02394525271460024,27,0.029129711799909423,endpoint_late_speed,0.02394525271460024,0.09760547472853998,0.029129711799909423,True,True,True,True,True
s41r12_c168d509664a84af4629,brake_effect_state28,1,True,False,-0.017279047980614193,27,0.022991292508469457,endpoint_late_speed,-0.017279047980614193,0.10172790479806142,0.022991292508469457,True,True,True,True,True
s41r12_dd88de9d7611513c1074,brake_effect_state30,1,True,False,-0.017279047980614193,27,0.023535988137328323,endpoint_late_speed,-0.017279047980614193,0.10172790479806142,0.023535988137328323,True,True,True,True,True
