experiment_id,phase,policy_id,target_id,actual_delay_steps,actual_slew_scale,calibration_token,environment_success,failure_reason,formal_arrival_deadline_step,formal_hold_through_step,formal_contract_tracking_pass,formal_contract_minimum_signed_margin,best_endpoint_step,limiting_component,limiting_component_margin,endpoint_late_speed_rms_m_per_s,terminal_speed_m_per_s,post_arrival_speed_rms_m_per_s,sustained_box_error_m,max_current_utilization,action_rms,delta_action_rms,first_affected_state_step,transition_issue_start_step,physics_prefix_exact,issued_prefix_exact,applied_prefix_exact,prefix_max_abs_difference,no_future_measurement,streaming_queue_consistent,first_effect_alignment_exact,early_braking_activated,physics_signature,issued_signature,applied_signature,braking_issued_signature,braking_applied_signature,r14_composite_pass,deadline_velocity_weight_multiplier,integrated_controller_scale,target_conditioned_nominal_retained,checkpoint_integral_preserved,checkpoint_integral_l2,main_integrated_steps,tail_hold_steps,any_mode_bound_fraction,mode0_bound_fraction,mode1_bound_fraction,mode2_bound_fraction,integrated_issued_signature,integrated_applied_signature
s41r14_0e81673e91834521e878,oracle_development,itc_vw1_c0p50,nominal,1,0.9,,True,,27,37,False,-0.08985694741248373,27,final_speed,-0.08985694741248373,0.10172790479806142,0.10898569474124838,0.05607921722313322,0.015424855999999987,0.41174999999999995,0.2850569889469543,0.2164151708699425,23,21,True,True,True,0.0,True,True,True,True,physics_69eaca6105403d0815b9,issued_aaa29f883fad4ca359d5,applied_f4e9ea71bb32c2bba202,brakingissued_43260e941268a58942e5,brakingapplied_2ee4f6970afae2779c48,False,1.0,0.5,True,True,1.730546588125649,14,2,0.5,0.5,0.07142857142857142,0.0,integratedissued_43260e941268a58942e5,integratedapplied_2ee4f6970afae2779c48
s41r14_d855857857090436fce4,oracle_development,itc_vw1_c0p50,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.22684688163906985,27,final_speed,-0.22684688163906985,0.11396391039816535,0.12268468816390699,0.06561984580064369,0.02180875299999996,0.41195,0.28576127704142146,0.21344699896659353,23,21,True,True,True,0.0,True,True,True,True,physics_67e7666e91e93527b3e8,issued_591f1d0bf0e3ba72214e,applied_bab933b3317a9c07092b,brakingissued_5019976c5c1ddcec14eb,brakingapplied_cea2b57272df71d2d5da,False,1.0,0.5,True,True,1.5889172480753857,14,2,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,integratedissued_5019976c5c1ddcec14eb,integratedapplied_cea2b57272df71d2d5da
s41r14_7194937b6a126c91364e,oracle_development,itc_vw1_c0p50,nominal,2,0.9,,True,,27,37,False,-0.09417753511415805,27,final_speed,-0.09417753511415805,0.09760547472853998,0.1094177535114158,0.057241960078492644,0.015609035999999965,0.41174999999999995,0.2873330339441299,0.21424466444232546,23,20,True,True,True,0.0,True,True,True,True,physics_23022d323f0d6b59a56f,issued_59dbdc8715ee74dfe370,applied_cc1b25974bb9a2c92a23,brakingissued_07903c717e84825d9ddf,brakingapplied_7c3ca5842b95eaa981ee,False,1.0,0.5,True,True,1.8006201284805747,15,2,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.0,integratedissued_07903c717e84825d9ddf,integratedapplied_7c3ca5842b95eaa981ee
s41r14_3beefeea21c91be8f223,oracle_development,itc_vw1_c0p50,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.242367103269711,27,final_speed,-0.242367103269711,0.11804965448910713,0.12423671032697112,0.06971241201370497,0.02206077800000006,0.41195,0.28810875253411333,0.21078605596331781,23,20,True,True,True,0.0,True,True,True,True,physics_9f92caa2e017a726be1d,issued_c72315cb291dd13b71b3,applied_0509a6e3b52bf2f296ad,brakingissued_5cb546481c4563ec2478,brakingapplied_7a250d885f9aa4f18ce2,False,1.0,0.5,True,True,1.4052492949429882,15,2,0.4,0.4,0.3333333333333333,0.0,integratedissued_5cb546481c4563ec2478,integratedapplied_7a250d885f9aa4f18ce2
s41r14_2062f546962fa4760ecc,oracle_development,itc_vw3_c0p50,nominal,1,0.9,,True,,27,37,False,-0.12394093263253625,27,final_speed,-0.12394093263253625,0.0983927586456357,0.11239409326325363,0.05470740687660862,0.015471628000000015,0.41174999999999995,0.28497609922651784,0.2162262090797647,23,21,True,True,True,0.0,True,True,True,True,physics_1252a5c5e4e73c32cea0,issued_0a1a9510873244059184,applied_c21cfa2de61a69b998bd,brakingissued_bcb49465c21fa682462e,brakingapplied_221abd224310e98b888b,False,3.0,0.5,True,True,1.730546588125649,14,2,0.5,0.5,0.2857142857142857,0.0,integratedissued_bcb49465c21fa682462e,integratedapplied_221abd224310e98b888b
s41r14_eb1ce2f5cd28afb25875,oracle_development,itc_vw3_c0p50,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.2378750719684919,27,final_speed,-0.2378750719684919,0.11231342195694809,0.1237875071968492,0.0651008169553658,0.021833124000000037,0.41195,0.2857129697271147,0.21329906967902518,23,21,True,True,True,0.0,True,True,True,True,physics_fbdc6bf723f720ccc471,issued_f79a0878dcfbfbe9bdbd,applied_c852bbfd808ea75e1ce1,brakingissued_adcc97c2f93443697dc7,brakingapplied_5f515debc84bf31dfb4a,False,3.0,0.5,True,True,1.5889172480753857,14,2,0.5,0.5,0.35714285714285715,0.0,integratedissued_adcc97c2f93443697dc7,integratedapplied_5f515debc84bf31dfb4a
s41r14_711e16185017a626e0a0,oracle_development,itc_vw3_c0p50,nominal,2,0.9,,True,,27,37,False,-0.14021025788532304,26,final_speed,-0.14021025788532304,0.10853247303444802,0.11402102578853232,0.05719021984814504,0.016287895000000052,0.41174999999999995,0.2872254753929016,0.2139699996856979,23,20,True,True,True,0.0,True,True,True,True,physics_2877f1810dd93d66f53f,issued_4a1439e3f4cf94b675b9,applied_2a3a5e4a425c69319a56,brakingissued_e625086ec5149292f99d,brakingapplied_ae74a146ee113b4b9f07,False,3.0,0.5,True,True,1.8006201284805747,15,2,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.0,integratedissued_e625086ec5149292f99d,integratedapplied_ae74a146ee113b4b9f07
s41r14_c170719353dbcfa219fd,oracle_development,itc_vw3_c0p50,RZ_p10_m10,2,0.9,,True,,27,37,False,-0.2732976034711645,27,final_speed,-0.2732976034711645,0.11666463199035194,0.12732976034711646,0.06952285589725965,0.02205704399999997,0.41195,0.2880387678213969,0.2107771466908618,23,20,True,True,True,0.0,True,True,True,True,physics_6eb64eff8b3f32248777,issued_81f7ff15d3413443d68e,applied_379b3012ddfe66c8106c,brakingissued_948a4d2fa6f4c86c55f6,brakingapplied_beba3e5aa701a243c89f,False,3.0,0.5,True,True,1.4052492949429882,15,2,0.4666666666666667,0.26666666666666666,0.4666666666666667,0.0,integratedissued_948a4d2fa6f4c86c55f6,integratedapplied_beba3e5aa701a243c89f
s41r14_c6df148b5f157055c00b,oracle_development,itc_vw6_c0p50,nominal,1,0.9,,True,,27,37,False,-0.12078544229031629,27,final_speed,-0.12078544229031629,0.09837099716825684,0.11207854422903164,0.05457429405105582,0.015471632999999985,0.41174999999999995,0.2849959032701262,0.2162244355579862,23,21,True,True,True,0.0,True,True,True,True,physics_1b58c03d4dd16b00644f,issued_cea9b063fb346da317c4,applied_ffee20353292fe4dc663,brakingissued_00a6a196dd462d927866,brakingapplied_32fb427865bf3c5fa858,False,6.0,0.5,True,True,1.730546588125649,14,2,0.5,0.5,0.2857142857142857,0.0,integratedissued_00a6a196dd462d927866,integratedapplied_32fb427865bf3c5fa858
s41r14_15e2d83daaae5fc99f71,oracle_development,itc_vw6_c0p50,RZ_p10_m10,1,0.9,,True,,27,37,False,-0.23532668490486097,27,final_speed,-0.23532668490486097,0.11233636170536293,0.1235326684904861,0.06498175650735159,0.021832986000000054,0.41195,0.2857300985473494,0.21330484816564937,23,21,True,True,True,0.0,True,True,True,True,physics_0664e8a8514fb0dda7fa,issued_05d38ad519d2043b8cab,applied_8a95a2d7a0416ab51be9,brakingissued_06d02f5b1d6515b7d718,brakingapplied_2f4376b7c524cd130ca0,False,6.0,0.5,True,True,1.5889172480753857,14,2,0.5,0.5,0.35714285714285715,0.0,integratedissued_06d02f5b1d6515b7d718,integratedapplied_2f4376b7c524cd130ca0
