experiment_id,target_id,actual_delay_steps,first_affected_state_step,environment_success,failure_reason,formal_contract_pass,formal_margin,limiting_component,endpoint_late_speed_rms_m_per_s,terminal_nominal_physical_mode,terminal_integral_mode,checkpoint_integral_l2,library_task_ids,any_mode_bound_fraction,mode0_bound_fraction,mode1_bound_fraction,mode2_bound_fraction,max_current_utilization,solver_failure_steps,future_measurement_used,streaming_queue_consistent
s41r13_01ad23d31139c84ba45f,RZ_p10_m10,2,26,True,,False,-0.1775291558419858,endpoint_late_speed,0.11775291558419858,zero_current_increment,reset_zero,2.461297849163827,RZ_p10_m10mm,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.07142857142857142,0.41195,0,False,True
s41r13_07e2fe72bced0391afd9,RZ_p10_m10,2,22,True,,False,-0.21624334500695608,endpoint_late_speed,0.12162433450069562,zero_current_increment,reset_zero,1.5234404762196494,RZ_p10_m10mm,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.05555555555555555,0.41195,0,False,True
s41r13_114c5a96accddd2d33f7,nominal,1,22,True,,False,-0.04182522546187095,endpoint_late_speed,0.10418252254618711,zero_current_increment,reset_zero,1.5000849766249942,nominal,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.058823529411764705,0.41174999999999995,0,False,True
s41r13_167ac7755aca796f0092,nominal,2,26,True,,True,0.027491005295658844,endpoint_late_speed,0.09725089947043412,zero_current_increment,reset_zero,2.9484624051399186,nominal,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.07142857142857142,0.41174999999999995,0,False,True
s41r13_1975451a3afbfb26899c,RZ_p10_m10,1,23,True,,False,-0.04934201439746855,endpoint_late_speed,0.10493420143974687,zero_current_increment,reset_zero,1.5889172480753857,RZ_p10_m10mm,0.875,0.8125,0.6875,0.0,0.41195,0,False,True
s41r13_2cad46b7f8bf3f35decf,nominal,2,25,True,,True,0.04255361261650725,endpoint_late_speed,0.09574463873834928,zero_current_increment,reset_zero,2.473845230158572,nominal,0.6,0.3333333333333333,0.6,0.0,0.41174999999999995,0,False,True
s41r13_3715282e9921ea045508,nominal,2,21,True,,False,-0.015339798645994218,endpoint_late_speed,0.10153397986459943,zero_current_increment,reset_zero,2.051635047930989,nominal,0.7894736842105263,0.631578947368421,0.5789473684210527,0.05263157894736842,0.41174999999999995,0,False,True
s41r13_3d3f07340f41492eb77c,nominal,2,20,True,,False,-0.07186485683913224,endpoint_late_speed,0.10718648568391323,zero_current_increment,reset_zero,2.3164170831859248,nominal,0.8,0.7,0.55,0.05,0.41174999999999995,0,False,True
s41r13_3db862ed572d24796c09,RZ_p10_m10,1,26,True,,False,-0.13664373503767857,endpoint_late_speed,0.11366437350376786,zero_current_increment,reset_zero,3.3212063599008816,RZ_p10_m10mm,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.41195,0,False,True
s41r13_402f08fe25e25e67e234,nominal,2,22,True,,True,0.007124914748438571,endpoint_late_speed,0.09928750852515615,zero_current_increment,reset_zero,1.8401841910905232,nominal,1.0,0.7777777777777778,0.6666666666666666,0.05555555555555555,0.41174999999999995,0,False,True
s41r13_4a757b65d0a256d31518,RZ_p10_m10,2,24,True,,False,-0.12039190063365712,endpoint_late_speed,0.11203919006336573,zero_current_increment,reset_zero,1.5188708603479053,RZ_p10_m10mm,0.75,0.5625,0.625,0.0625,0.41195,0,False,True
s41r13_500788c02d33ae8d7b42,RZ_p10_m10,2,25,True,,False,-0.16307665948352068,endpoint_late_speed,0.11630766594835208,zero_current_increment,reset_zero,1.9227367487030937,RZ_p10_m10mm,0.6666666666666666,0.4,0.6666666666666666,0.0,0.41195,0,False,True
s41r13_65818c1e2052c9698810,RZ_p10_m10,2,20,True,,False,-0.26026703994861067,endpoint_late_speed,0.12602670399486107,zero_current_increment,reset_zero,2.1219955775259653,RZ_p10_m10mm,0.75,0.65,0.65,0.2,0.41195,0,False,True
s41r13_776564e29cd6c1615eda,RZ_p10_m10,1,25,True,,False,-0.12479269878546018,endpoint_late_speed,0.11247926987854603,zero_current_increment,reset_zero,2.7001663997642296,RZ_p10_m10mm,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.0,0.41195,0,False,True
s41r13_842e5c5b6c6bed3eac39,RZ_p10_m10,1,22,True,,False,-0.2059656976505999,endpoint_late_speed,0.12059656976505999,zero_current_increment,reset_zero,1.3719872846728156,RZ_p10_m10mm,1.0,0.7647058823529411,0.7647058823529411,0.058823529411764705,0.41195,0,False,True
s41r13_8c1c0e2377b5a1d0d284,nominal,1,23,True,,True,0.07840679333862832,endpoint_late_speed,0.09215932066613718,zero_current_increment,reset_zero,1.730546588125649,nominal,0.8125,0.8125,0.6875,0.0,0.41174999999999995,0,False,True
s41r13_973af7f40b91f3d600b1,RZ_p10_m10,1,21,True,,False,-0.30668652905714167,endpoint_late_speed,0.13066865290571417,zero_current_increment,reset_zero,1.4599958172812642,RZ_p10_m10mm,0.8888888888888888,0.8333333333333334,0.7222222222222222,0.16666666666666666,0.41195,0,False,True
s41r13_a47224c84ee512706db5,nominal,1,24,True,,True,0.02851200167972512,endpoint_late_speed,0.0971487998320275,zero_current_increment,reset_zero,2.2602705433868855,nominal,0.8,0.7333333333333333,0.8,0.06666666666666667,0.41174999999999995,0,False,True
s41r13_b7c85207f00f0dbc027c,nominal,1,20,True,,False,-0.08761805607278061,endpoint_late_speed,0.10876180560727806,zero_current_increment,reset_zero,2.0071351466675478,nominal,0.8421052631578947,0.7894736842105263,0.7894736842105263,0.10526315789473684,0.41174999999999995,0,False,True
s41r13_bf62cf889ee93b2af1fa,nominal,1,26,True,,False,-0.014897637186728874,endpoint_late_speed,0.1014897637186729,zero_current_increment,reset_zero,3.503870392167608,nominal,0.8461538461538461,0.7692307692307693,0.7692307692307693,0.07692307692307693,0.41174999999999995,0,False,True
s41r13_c37b50d3594fe54566a9,nominal,2,24,True,,True,0.0875920325006353,endpoint_late_speed,0.09124079674993647,zero_current_increment,reset_zero,2.0395007553076585,nominal,0.625,0.375,0.625,0.0625,0.41174999999999995,0,False,True
s41r13_cf31303b78d383e83881,RZ_p10_m10,2,21,True,,False,-0.18046230745557756,endpoint_late_speed,0.11804623074555777,zero_current_increment,reset_zero,1.7891264035650392,RZ_p10_m10mm,0.8421052631578947,0.7368421052631579,0.6842105263157895,0.15789473684210525,0.41195,0,False,True
s41r13_d4657fb7efa750069cca,RZ_p10_m10,1,24,True,,False,-0.08941067639197797,endpoint_late_speed,0.1089410676391978,zero_current_increment,reset_zero,2.0923788559268215,RZ_p10_m10mm,0.9333333333333333,0.8,0.8,0.06666666666666667,0.41195,0,False,True
s41r13_d4c413689c8e098c55ca,nominal,1,25,True,,False,-0.005664619030952167,endpoint_late_speed,0.10056646190309522,zero_current_increment,reset_zero,2.8873574059635234,nominal,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.0,0.41174999999999995,0,False,True
s41r13_d66c21b99ab1291d12b5,nominal,2,23,True,,True,0.14055765705622303,endpoint_late_speed,0.0859442342943777,zero_current_increment,reset_zero,1.8006201284805747,nominal,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.0,0.41174999999999995,0,False,True
s41r13_e99e76f0b005ef85bd4d,RZ_p10_m10,2,23,True,,False,-0.08573530759636228,endpoint_late_speed,0.10857353075963624,zero_current_increment,reset_zero,1.4052492949429882,RZ_p10_m10mm,0.7647058823529411,0.6470588235294118,0.5882352941176471,0.0,0.41195,0,False,True
s41r13_f10069f6fb7ce95775fb,RZ_p10_m10,1,20,True,,False,-0.2909845395896773,endpoint_late_speed,0.12909845395896774,zero_current_increment,reset_zero,1.7495474049873692,RZ_p10_m10mm,0.8421052631578947,0.7894736842105263,0.7368421052631579,0.21052631578947367,0.41195,0,False,True
s41r13_fd356d96a156f90417aa,nominal,1,21,True,,False,-0.14106538696306425,endpoint_late_speed,0.11410653869630642,zero_current_increment,reset_zero,1.6571852187371794,nominal,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.05555555555555555,0.41174999999999995,0,False,True
