experiment_id,target_id,actual_delay_steps,policy_id,issue_step,affected_state,feedforward_norm
s41r14_008e07d7bbb2b8b9804e,RZ_p10_m10,1,itc_vw6_c0p60,34,36,0.5459258321008118
s41r14_0e81673e91834521e878,nominal,1,itc_vw1_c0p50,34,36,0.5569602998518153
s41r14_15e2d83daaae5fc99f71,RZ_p10_m10,1,itc_vw6_c0p50,34,36,0.5459258321008118
s41r14_183dee34e9cdb4693f5b,RZ_p10_m10,1,itc_vw10_c0p50,34,36,0.5459258321008118
s41r14_1c228ee83557c04f4fec,nominal,1,itc_vw10_c0p50,34,36,0.5569602998518153
s41r14_2062f546962fa4760ecc,nominal,1,itc_vw3_c0p50,34,36,0.5569602998518153
s41r14_28c007aa5ae044b4809c,nominal,2,itc_vw6_c0p50,33,36,0.5569602998518153
s41r14_28c007aa5ae044b4809c,nominal,2,itc_vw6_c0p50,34,37,0.5569602998518153
s41r14_3beefeea21c91be8f223,RZ_p10_m10,2,itc_vw1_c0p50,33,36,0.5459258321008118
s41r14_3beefeea21c91be8f223,RZ_p10_m10,2,itc_vw1_c0p50,34,37,0.5459258321008118
s41r14_515d25536de7cf107590,nominal,1,itc_vw10_c0p60,34,36,0.5569602998518153
s41r14_5ac8a688e932b1a109a4,nominal,2,itc_vw10_c0p50,33,36,0.5569602998518153
s41r14_5ac8a688e932b1a109a4,nominal,2,itc_vw10_c0p50,34,37,0.5569602998518153
s41r14_5bbcf2ab77121f699f76,RZ_p10_m10,2,itc_vw6_c0p60,33,36,0.5459258321008118
s41r14_5bbcf2ab77121f699f76,RZ_p10_m10,2,itc_vw6_c0p60,34,37,0.5459258321008118
s41r14_711e16185017a626e0a0,nominal,2,itc_vw3_c0p50,33,36,0.5569602998518153
s41r14_711e16185017a626e0a0,nominal,2,itc_vw3_c0p50,34,37,0.5569602998518153
s41r14_7194937b6a126c91364e,nominal,2,itc_vw1_c0p50,33,36,0.5569602998518153
s41r14_7194937b6a126c91364e,nominal,2,itc_vw1_c0p50,34,37,0.5569602998518153
s41r14_862bf324a7db914b3f44,nominal,1,itc_vw6_c0p60,34,36,0.5569602998518153
s41r14_886a64cc0ed8dab68b3c,nominal,2,itc_vw6_c0p60,33,36,0.5569602998518153
s41r14_886a64cc0ed8dab68b3c,nominal,2,itc_vw6_c0p60,34,37,0.5569602998518153
s41r14_c170719353dbcfa219fd,RZ_p10_m10,2,itc_vw3_c0p50,33,36,0.5459258321008118
s41r14_c170719353dbcfa219fd,RZ_p10_m10,2,itc_vw3_c0p50,34,37,0.5459258321008118
s41r14_c6df148b5f157055c00b,nominal,1,itc_vw6_c0p50,34,36,0.5569602998518153
s41r14_cb29031f1fd0948f0bcf,RZ_p10_m10,2,itc_vw10_c0p60,33,36,0.5459258321008118
s41r14_cb29031f1fd0948f0bcf,RZ_p10_m10,2,itc_vw10_c0p60,34,37,0.5459258321008118
s41r14_d1739a4ca0a1028490c3,nominal,2,itc_vw10_c0p60,33,36,0.5569602998518153
s41r14_d1739a4ca0a1028490c3,nominal,2,itc_vw10_c0p60,34,37,0.5569602998518153
s41r14_d3dc92ca431db2059a6b,RZ_p10_m10,2,itc_vw10_c0p50,33,36,0.5459258321008118
s41r14_d3dc92ca431db2059a6b,RZ_p10_m10,2,itc_vw10_c0p50,34,37,0.5459258321008118
s41r14_d855857857090436fce4,RZ_p10_m10,1,itc_vw1_c0p50,34,36,0.5459258321008118
s41r14_e3fcdcc949d49834ad17,RZ_p10_m10,1,itc_vw10_c0p60,34,36,0.5459258321008118
s41r14_e9e9d48f801085f7b134,RZ_p10_m10,2,itc_vw6_c0p50,33,36,0.5459258321008118
s41r14_e9e9d48f801085f7b134,RZ_p10_m10,2,itc_vw6_c0p50,34,37,0.5459258321008118
s41r14_eb1ce2f5cd28afb25875,RZ_p10_m10,1,itc_vw3_c0p50,34,36,0.5459258321008118
