group_id,target_id,actual_delay_steps,all_negative_magnitude,equivalent_peak_component,formal_tracking_pass,minimum_signed_margin,endpoint_late_speed_m_per_s,final_speed_m_per_s,inside_externally_validated_individual_axis_envelope,inside_externally_validated_joint_combination_envelope,diagnostic_extrapolation
nominal__d1,nominal,1,0.0,0.0,True,0.07840679333862832,0.09215932066613718,0.01328392393376483,True,True,False
nominal__d1,nominal,1,0.5,0.0075,True,0.08467100501130409,0.0915328994988696,0.00898944401504304,True,True,False
nominal__d1,nominal,1,1.0,0.015,True,0.09088672949061039,0.09091132705093896,0.006080273593046902,True,False,True
nominal__d1,nominal,1,6.0,0.09,True,0.15014719999588422,0.08498528000041158,0.04947963687327412,False,False,True
nominal__d2,nominal,2,0.0,0.0,True,0.14055765705622303,0.0859442342943777,0.02080056920019328,True,True,False
nominal__d2,nominal,2,0.5,0.0075,True,0.1467807307085197,0.08532192692914803,0.01912976561222136,True,True,False
nominal__d2,nominal,2,1.0,0.015,True,0.15294945791058656,0.08470505420894135,0.01747400658021892,True,False,True
nominal__d2,nominal,2,6.0,0.09,True,0.2113726203166918,0.07886273796833082,0.005937192616829947,False,False,True
RZ_p10_m10__d1,RZ_p10_m10,1,0.0,0.0,False,-0.04934201439746855,0.10493420143974687,0.022618184129134366,True,True,False
RZ_p10_m10__d1,RZ_p10_m10,1,0.5,0.0075,False,-0.042572062089519136,0.10425720620895192,0.017117848607952946,True,True,False
RZ_p10_m10__d1,RZ_p10_m10,1,1.0,0.015,False,-0.03585323377469707,0.10358532337746972,0.012175693618999676,True,False,True
RZ_p10_m10__d1,RZ_p10_m10,1,6.0,0.09,True,0.028293890236743557,0.09717061097632565,0.052524956092694725,False,False,True
RZ_p10_m10__d2,RZ_p10_m10,2,0.0,0.0,False,-0.08573530759636228,0.10857353075963624,0.031285728955109726,True,True,False
RZ_p10_m10__d2,RZ_p10_m10,2,0.5,0.0075,False,-0.0767803595360732,0.10767803595360732,0.030558072002162828,True,True,False
RZ_p10_m10__d2,RZ_p10_m10,2,1.0,0.015,False,-0.06790836987325988,0.106790836987326,0.029830704411947226,True,False,True
RZ_p10_m10__d2,RZ_p10_m10,2,6.0,0.09,True,0.015765534868535824,0.09842344651314643,0.02257909104087808,False,False,True
