scenario,open_loop_pass,legacy_stage3_4_pass,upgraded_pass,upgraded_lost_open_loop_pass,upgraded_lost_legacy_pass,legacy_signed_margin,upgraded_signed_margin,upgraded_minus_legacy_margin,legacy_post_arrival_velocity_rms,upgraded_post_arrival_velocity_rms,legacy_final_velocity,upgraded_final_velocity,upgraded_scheduler_mismatch_rms_a
nominal,True,True,True,False,False,0.45179333666666666,0.4061104333333333,-0.04568290333333336,0.03794289695417812,0.037756169699170485,1000000000000.0,1000000000000.0,4.654149558966146e-08
R_p3p3,True,True,True,False,False,0.36580195933358706,0.19275937783882413,-0.17304258149476293,0.038113232632477914,0.0534377463537769,1000000000000.0,1000000000000.0,4.400471430522353e-08
R_p8p8,True,True,True,False,False,0.32057179999999774,0.18705880634440175,-0.133512993655596,0.03570397250316985,0.059512624336107676,1000000000000.0,1000000000000.0,4.147616861161902e-08
Z_m4p2,True,True,True,False,False,0.4054504133333333,0.36765818333333333,-0.03779222999999998,0.03565146359109191,0.03806043703956183,1000000000000.0,1000000000000.0,4.391628842503772e-08
Z_m8p6,True,True,True,False,False,0.33406797333333327,0.27283381333333334,-0.061234159999999926,0.041173489470643504,0.03999932477542485,1000000000000.0,1000000000000.0,5.022204175421495e-08
RZ_p6p2_m8p6,True,True,True,False,False,0.29348141000000005,0.25279109999999994,-0.04069031000000012,0.04508033515421217,0.04508308744816329,1000000000000.0,1000000000000.0,4.691235288931109e-08
RZ_p8p8_m3p3,True,True,True,False,False,0.307423833333334,0.2768546333333335,-0.030569200000000518,0.038503282053548776,0.046183323066631865,1000000000000.0,1000000000000.0,4.521943046102044e-08
Ip_m600,True,True,True,False,False,0.47361767468612304,0.2880963280005504,-0.18552134668557263,0.03143382255494974,0.05667217070402652,1000000000000.0,1000000000000.0,4.717726081719909e-08
Ip_p600,True,True,True,False,False,0.41327047506590464,0.2049434921176818,-0.20832698294822283,0.03461157790326417,0.061181758863808965,1000000000000.0,1000000000000.0,4.665273568800218e-08
hard_RZ_p10_m10,True,True,True,False,False,0.23832005277494073,0.26767856666666534,0.029358513891724614,0.049679670798028715,0.05494355132972627,1000000000000.0,1000000000000.0,5.121388758969958e-08
