recovery_family,open_loop_failure_reached,first_failure_level,first_failure_baseline_margin,first_failure_feedback_margin,recovered_at_first_failure,last_pass_level,last_pass_baseline_margin,disturbance_envelope_reached
nominal__m0__s04__m,True,0,-0.6709869965430812,0.20108336333333332,True,,,True
nominal__m0__s04__p,True,0,-0.474802967977187,0.26996598179293685,True,,,True
nominal__m1__s04__m,True,0,-0.18160633333333331,0.06973926666666763,True,,,True
nominal__m1__s04__p,True,5,-0.18257347710537908,0.5186951479936379,True,4,0.05123937932968403,True
nominal__m2__s04__m,False,,,,False,6,0.09961646666666601,False
nominal__m2__s04__p,True,4,-0.009405660253787751,0.460511251128497,True,3,0.08165812004644446,True
nominal__m0__s12__m,True,0,-0.742625963933967,0.11411674999999999,True,,,True
nominal__m0__s12__p,True,0,-0.7501657041575098,0.01487908973305474,True,,,True
nominal__m1__s12__m,True,2,-0.22799846666666523,0.05525326666666519,True,1,0.0831841666666675,True
nominal__m1__s12__p,True,0,-0.39052471542090705,0.110200670874527,True,,,True
nominal__m2__s12__m,False,,,,False,6,0.04132656666666534,False
nominal__m2__s12__p,False,,,,False,6,0.2661557991522939,False
nominal__m0__s24__m,True,0,-0.8383318537975513,-0.19663170484033565,False,,,True
nominal__m0__s24__p,True,0,-0.05838093559971069,0.06762917545048941,True,,,True
nominal__m1__s24__m,True,1,-0.28402004375720624,0.23447826647962422,True,0,0.08044898324274485,True
nominal__m1__s24__p,True,1,-0.2304968144997177,-0.0772080585494519,False,0,0.11742178285737004,True
nominal__m2__s24__m,False,,,,False,6,0.383621376852849,False
nominal__m2__s24__p,True,6,-0.2347063164769585,-0.2805939381591658,False,5,0.050294910655883096,True
RZ_p10_m10__m0__s04__m,True,0,-0.7677226366666667,0.04839119310619355,True,,,True
RZ_p10_m10__m0__s04__p,True,0,-0.5294785424147384,0.17579696666666644,True,,,True
RZ_p10_m10__m1__s04__m,True,0,-0.28499106666666685,-0.13152076699274184,False,,,True
RZ_p10_m10__m1__s04__p,True,4,-0.053900722297546055,0.361666925,True,3,0.025841431951696414,True
RZ_p10_m10__m2__s04__m,True,5,-0.023942733333334854,0.05401185930620289,True,4,0.0126892666666647,True
RZ_p10_m10__m2__s04__p,True,3,-0.032707373729455425,0.2874823633333333,True,2,0.031048566183927373,True
RZ_p10_m10__m0__s12__m,True,0,-0.717151515900089,-0.05289465333333343,False,,,True
RZ_p10_m10__m0__s12__p,True,0,-0.9580506491632088,-0.020707916199878218,False,,,True
RZ_p10_m10__m1__s12__m,True,1,-0.12438686666666765,0.06846660000000093,True,0,0.02642838999999997,True
RZ_p10_m10__m1__s12__p,True,0,-0.5917786315182103,-0.008147556992688099,False,,,True
RZ_p10_m10__m2__s12__m,True,4,-0.015004000000000906,0.13542363333333418,True,3,0.08939599999999992,True
RZ_p10_m10__m2__s12__p,False,,,,False,6,0.13377844204293454,False
RZ_p10_m10__m0__s24__m,True,0,-0.7831037835968511,-0.3595659384585881,False,,,True
RZ_p10_m10__m0__s24__p,True,0,-0.16105003079017277,-0.08007990429633782,False,,,True
RZ_p10_m10__m1__s24__m,True,1,-0.1373760819739933,0.10572359999999892,True,0,0.15349873333333397,True
RZ_p10_m10__m1__s24__p,True,0,-0.11224313318062329,-0.017165498529794876,False,,,True
RZ_p10_m10__m2__s24__m,False,,,,False,6,0.2542708433333333,False
RZ_p10_m10__m2__s24__p,True,4,-0.08431652909798326,0.06574728371246175,True,3,0.1739704396784787,True
