recovery_family,recovery_level,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__m1__s04__p,2,0.5,s41r3_b79ca10867f529c2a1d6,s41r3_c34fef709a744e617044,True,True,True,False,False,0.27224280431448766,0.49060090666666667,0.218358102352179
nominal__m2__s04__m,2,0.5,s41r3_bf1f12350a5e5c90bde4,s41r3_f05a8e4c74db61badc43,True,True,True,False,False,0.3741704966666667,0.3653142328892438,-0.00885626377742288
nominal__m2__s04__p,2,0.5,s41r3_37b6aa0a2e9c9d1bbc82,s41r3_4cc9e0a9a9cbc4ad5f90,True,True,True,False,False,0.16905572908127464,0.4896931333333333,0.32063740425205867
nominal__m1__s12__m,2,0.5,s41r3_d2ca1095f1049735ef38,s41r3_9921f0d8be1f3ed6b81a,False,True,False,True,False,-0.22799846666666523,0.05525326666666519,0.2832517333333304
nominal__m2__s12__m,2,0.5,s41r3_a029f874257ae7a9d1e1,s41r3_707b9abf871faf8de25c,True,True,True,False,False,0.37506136666666523,0.44051243333333157,0.06545106666666634
nominal__m2__s12__p,2,0.5,s41r3_a354aae7ebbd0829d219,s41r3_4afee9830892c428f26c,True,True,True,False,False,0.3608032214788234,0.4500876466666667,0.0892844251878433
nominal__m2__s24__m,2,0.5,s41r3_7ab3bc73d6fc37537790,s41r3_92d0e122646f23f39b6d,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal__m2__s24__p,2,0.5,s41r3_0a4723af475dd97b853d,s41r3_f0d2a04878d8693e8455,True,True,True,False,False,0.38867918999999995,0.43762078822030537,0.048941598220305416
RZ_p10_m10__m1__s04__p,2,0.5,s41r3_361604dfbf04dfb4528f,s41r3_dba0f0320a132bdd13d4,True,True,True,False,False,0.10617626049292794,0.32878816999999994,0.222611909507072
RZ_p10_m10__m2__s04__m,2,0.5,s41r3_5596f5fbeefb877e00be,s41r3_a9ed120b31381836ca41,True,True,True,False,False,0.12984259999999914,0.0672730645670746,-0.06256953543292454
RZ_p10_m10__m2__s04__p,2,0.5,s41r3_712260e10d4b0dac836c,s41r3_ac979220f3297e9e8967,True,True,True,False,False,0.031048566183927373,0.30020632,0.26915775381607265
RZ_p10_m10__m2__s12__m,2,0.5,s41r3_cecfd4addd30ca92eb44,s41r3_b9e5740c96eb278fc4a1,True,True,True,False,False,0.18716583333333126,0.2150569333333343,0.027891100000003055
RZ_p10_m10__m2__s12__p,2,0.5,s41r3_fbe054a620f9d00ff34f,s41r3_9a70329a67af3ebd08d8,True,True,True,False,False,0.23569816059315063,0.21210404568605024,-0.023594114907100394
RZ_p10_m10__m2__s24__m,2,0.5,s41r3_cc4f3a94dcc1f709eac9,s41r3_60c1bf17829429995589,True,True,True,False,False,0.2542708433333333,0.2380327629158835,-0.016238080417449785
RZ_p10_m10__m2__s24__p,2,0.5,s41r3_9316ab2e761700bd7b32,s41r3_c2265ff225bbf5009650,True,True,True,False,False,0.2542708433333333,0.2386159279683232,-0.01565491536501007
