scenario,target_id,condition,variant,selectable,tracking_pass,legacy_tracking_pass,preserved_legacy_pass,signed_margin,legacy_signed_margin,margin_delta_vs_legacy,post_arrival_velocity_rms,final_velocity
RZ_p10_m10__clean,RZ_p10_m10,clean,legacy_raw,False,True,True,True,0.23832005277494073,0.23832005277494073,0.0,0.049679670798028715,0.04401739910980761
RZ_p10_m10__clean,RZ_p10_m10,clean,r2_error_alpha_beta,False,True,True,True,0.26767856666666534,0.23832005277494073,0.029358513891724614,0.05494355132972627,0.055623227644119914
RZ_p10_m10__clean,RZ_p10_m10,clean,control_aware_no_aw,True,True,True,True,0.23832005277494073,0.23832005277494073,0.0,0.049679670798028715,0.04401739910980761
RZ_p10_m10__clean,RZ_p10_m10,clean,control_aware_aw,True,True,True,True,0.23832005277494073,0.23832005277494073,0.0,0.049679670798028715,0.04401739910980761
RZ_p10_m10__noise_high_s4301,RZ_p10_m10,noise_high_s4301,legacy_raw,False,False,False,True,-0.09032033199497302,-0.09032033199497302,0.0,0.05588702746855657,0.013331043986542024
RZ_p10_m10__noise_high_s4301,RZ_p10_m10,noise_high_s4301,r2_error_alpha_beta,False,True,False,True,0.19433006812700504,-0.09032033199497302,0.28465040012197806,0.040795196342448936,0.0805669931872995
RZ_p10_m10__noise_high_s4301,RZ_p10_m10,noise_high_s4301,control_aware_no_aw,True,True,False,True,0.26377463333333484,-0.09032033199497302,0.35409496532830786,0.04599870351100143,0.03871920304581629
RZ_p10_m10__noise_high_s4301,RZ_p10_m10,noise_high_s4301,control_aware_aw,True,True,False,True,0.3001454666666672,-0.09032033199497302,0.3904657986616402,0.05013181988984611,0.03371613791382475
RZ_p10_m10__noise_low_delay_1_s4401,RZ_p10_m10,noise_low_delay_1_s4401,legacy_raw,False,True,True,True,0.2909901999999992,0.2909901999999992,0.0,0.040917010647481336,0.03734007040996275
RZ_p10_m10__noise_low_delay_1_s4401,RZ_p10_m10,noise_low_delay_1_s4401,r2_error_alpha_beta,False,True,True,True,0.2421143999999995,0.2909901999999992,-0.04887579999999969,0.05388980476834191,0.07096817515387067
RZ_p10_m10__noise_low_delay_1_s4401,RZ_p10_m10,noise_low_delay_1_s4401,control_aware_no_aw,True,True,True,True,0.28676403333333333,0.2909901999999992,-0.004226166666665865,0.04969631406833168,0.04071259291670636
RZ_p10_m10__noise_low_delay_1_s4401,RZ_p10_m10,noise_low_delay_1_s4401,control_aware_aw,True,True,True,True,0.22054732828420176,0.2909901999999992,-0.07044287171579744,0.055630876638578616,0.03755604626745844
RZ_p10_m10__noise_low_s4101,RZ_p10_m10,noise_low_s4101,legacy_raw,False,True,True,True,0.24617873801640977,0.24617873801640977,0.0,0.04569790786634321,0.06867603445469404
RZ_p10_m10__noise_low_s4101,RZ_p10_m10,noise_low_s4101,r2_error_alpha_beta,False,True,True,True,0.24911823333333327,0.24617873801640977,0.0029394953169235016,0.05395274934771923,0.06383761564588447
RZ_p10_m10__noise_low_s4101,RZ_p10_m10,noise_low_s4101,control_aware_no_aw,True,True,True,True,0.2781776999999994,0.24617873801640977,0.03199896198358965,0.051062040396403094,0.04700937509657823
RZ_p10_m10__noise_low_s4101,RZ_p10_m10,noise_low_s4101,control_aware_aw,True,True,True,True,0.18975855984002643,0.24617873801640977,-0.05642017817638334,0.056582211617848245,0.04460479290055726
