scenario,open_loop_pass,legacy_stage3_4_pass,upgraded_pass,upgraded_lost_open_loop_pass,upgraded_lost_legacy_pass,legacy_signed_margin,upgraded_signed_margin,upgraded_minus_legacy_margin,legacy_post_arrival_velocity_rms,upgraded_post_arrival_velocity_rms,legacy_final_velocity,upgraded_final_velocity,action_rms_difference_vs_legacy,action_max_difference_vs_legacy,trajectory_state_max_abs_difference_vs_legacy,upgraded_scheduler_mismatch_rms_a
nominal,True,True,True,False,False,0.45179333666666666,0.45179333666666666,0.0,0.03794289695417812,0.03794289695417812,0.03534038695005065,0.03534038695005065,0.0,0.0,0.0,4.654149558966146e-08
R_p3p3,True,True,True,False,False,0.36580195933358706,0.36580195933358706,0.0,0.038113232632477914,0.038113232632477914,0.019023867889314865,0.019023867889314865,0.0,0.0,0.0,4.149193820952401e-08
R_p8p8,True,True,True,False,False,0.32057179999999774,0.32057179999999774,0.0,0.03570397250316985,0.03570397250316985,0.017040955053708156,0.017040955053708156,0.0,0.0,0.0,4.174574670397349e-08
Z_m4p2,True,True,True,False,False,0.4054504133333333,0.4054504133333333,0.0,0.03565146359109191,0.03565146359109191,0.034081110946392795,0.034081110946392795,0.0,0.0,0.0,5.1033253027549696e-08
Z_m8p6,True,True,True,False,False,0.33406797333333327,0.33406797333333327,0.0,0.041173489470643504,0.041173489470643504,0.03791886602060252,0.03791886602060252,0.0,0.0,0.0,4.4474000131156565e-08
RZ_p6p2_m8p6,True,True,True,False,False,0.29348141000000005,0.29348141000000005,0.0,0.04508033515421217,0.04508033515421217,0.03801009006373246,0.03801009006373246,0.0,0.0,0.0,3.9536394892831037e-08
RZ_p8p8_m3p3,True,True,True,False,False,0.307423833333334,0.307423833333334,0.0,0.038503282053548776,0.038503282053548776,0.02843508496949933,0.02843508496949933,0.0,0.0,0.0,4.521943046102044e-08
Ip_m600,True,True,True,False,False,0.47361767468612304,0.47361767468612304,0.0,0.03143382255494974,0.03143382255494974,0.0319024084291594,0.0319024084291594,0.0,0.0,0.0,4.262586410978937e-08
Ip_p600,True,True,True,False,False,0.41327047506590464,0.41327047506590464,0.0,0.03461157790326417,0.03461157790326417,0.021244445262928364,0.021244445262928364,0.0,0.0,0.0,4.472044718702727e-08
hard_RZ_p10_m10,True,True,True,False,False,0.23832005277494073,0.23832005277494073,0.0,0.049679670798028715,0.049679670798028715,0.04401739910980761,0.04401739910980761,0.0,0.0,0.0,5.121388758969958e-08
