scenario,category,environment_variant,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__observation_delay_1,observation_delay,base,0.5,s41r3_db5f5d6b0d82f4a1e378,s41r3_e6c9159423531b734993,True,True,True,False,False,0.3936988233333333,0.45522819999999997,0.06152937666666669
nominal__observation_delay_2,observation_delay,base,0.5,s41r3_adcdf528fc17ce25bd6d,s41r3_e8d575d71915c839310c,True,True,True,False,False,0.3936988233333333,0.45726826,0.0635694366666667
nominal__action_delay_1_matched,matched_action_delay,base,0.5,s41r3_ab4c7a61411eccbcd213,s41r3_cc357d7942a98a0dc5e9,True,True,True,False,False,0.3936988233333333,0.47356742666666674,0.07986860333333345
nominal__action_delay_2_matched,matched_action_delay,base,0.5,s41r3_9575ba5d44bd4ff718f4,s41r3_b500b4a747934c1ffb79,True,True,True,False,False,0.3936988233333333,0.4816273099999999,0.08792848666666664
nominal__action_delay_1_unmodeled,diagnostic_unmodeled_delay,base,0.5,s41r3_1fef1b341ccc3ff3a477,s41r3_4206a5e45098914c726c,True,False,False,False,True,0.20398574000000003,-0.26313185835831465,-0.4671175983583147
nominal__gain_all_m10_matched,scheduled_gain,base,0.5,s41r3_ba2f054a6b812bd28626,s41r3_a5a61ad513bfdb0ef326,True,True,True,False,False,0.3881974066666667,0.45279762,0.06460021333333332
nominal__gain_all_p10_matched,scheduled_gain,base,0.5,s41r3_a59a97dcd79280e81a60,s41r3_019233ef73cdd8214a13,True,True,True,False,False,0.3936988233333333,0.45179333666666666,0.058094513333333375
nominal__gain_m1low_m2high_matched,scheduled_gain,base,0.5,s41r3_152dfb510227506fe55a,s41r3_1b242375f5c84b5bb5a4,True,True,True,False,False,0.3936988233333333,0.45179333666666666,0.058094513333333375
nominal__gain_m1high_m2low_matched,scheduled_gain,base,0.5,s41r3_4d8732694e95fbac5098,s41r3_7c5fceb9b3808d53db07,True,True,True,False,False,0.3936988233333333,0.45179333666666666,0.058094513333333375
nominal__gain_estimation_error_5pct,gain_estimation_error,base,0.5,s41r3_f87806c31b3664e1ce13,s41r3_56f527ba9c183b40c26e,False,True,False,True,False,-0.05278051666666683,0.4765302152134274,0.5293107318800943
nominal__model_scale_m15,controller_model_scale,base,0.5,s41r3_ae1e4e4572f7a5b14fc4,s41r3_404110f0345af9722e39,True,True,True,False,False,0.3936988233333333,0.4536583833333333,0.05995956000000002
nominal__model_scale_p15,controller_model_scale,base,0.5,s41r3_dc06a2a5b232cf1b8c80,s41r3_9d66db492f95b696a0ff,True,True,True,False,False,0.3936988233333333,0.45074331666666656,0.05704449333333328
nominal__combined_gain_delay_matched,combined_scheduled,base,0.5,s41r3_757abce51e23c197a928,s41r3_6e9d36ce93b043186d9a,True,True,True,False,False,0.3936988233333333,0.47356742666666674,0.07986860333333345
nominal__slew_0p9_matched,scheduled_slew,slew_0p9,0.5,s41r3_08fac729cb143a53d883,s41r3_c052f5f9c799149104b2,False,False,False,False,False,-0.37881848333333323,-0.11615373222784253,0.2626647511054907
nominal__slew_1p1_matched,scheduled_slew,slew_1p1,0.5,s41r3_8c95011a7a263c1c88ff,s41r3_c0a99a09b22b0c027f9a,True,True,True,False,False,0.37462621727007284,0.46286111333333335,0.08823489606326052
nominal__slew_0p9_unmodeled,diagnostic_unmodeled_slew,slew_0p9,0.5,s41r3_c661d1031da918d502ab,s41r3_b970b0b5becb09312c72,False,False,False,False,False,-0.3371543566666668,-0.21987740395507216,0.11727695271159466
RZ_p10_m10__observation_delay_1,observation_delay,base,0.5,s41r3_c3346285b5877889149f,s41r3_dac076784bc2a63fdfab,True,True,True,False,False,0.2542708433333333,0.27156556666666776,0.017294723333334483
RZ_p10_m10__observation_delay_2,observation_delay,base,0.5,s41r3_d333de4e510abca47473,s41r3_82d0e853ca787e6ecc13,True,True,True,False,False,0.2542708433333333,0.25572989909587673,0.0014590557625434597
