target_id,actual_delay_steps,actual_slew_scale,naive_pass,oracle_pass,adaptive_pass,diagnostic_weak_slew_deadline_case,naive_margin,oracle_margin,adaptive_margin,estimated_delay_steps,estimated_slew_scale
nominal,0,0.9,False,True,True,False,-0.21987740395507216,0.20440894227709006,0.0412770821312326,0,0.9
RZ_p10_m10,0,0.9,False,False,False,True,-0.5007357912676527,-0.05656162672110154,-0.15542537226289088,0,0.9
nominal,1,0.9,False,False,True,True,-0.02810880369844071,-0.028593344923346642,0.026915854193083844,1,0.9
RZ_p10_m10,1,0.9,False,False,False,True,-0.20926240531995322,-0.20096462994582498,-0.1506459144000103,1,0.9
nominal,2,0.9,False,False,False,True,-2.2834210943078914,-0.04997002273695417,-0.3627134888357417,2,0.9
RZ_p10_m10,2,0.9,False,False,False,True,-2.49232539820167,-0.26824317729067215,-0.4564841833573361,2,0.9
nominal,0,1.0,True,True,True,False,0.45179333666666666,0.45179333666666666,0.45179333666666666,0,1.0
RZ_p10_m10,0,1.0,True,True,True,False,0.23832005277494073,0.23832005277494073,0.23832005277494073,0,1.0
nominal,1,1.0,False,True,True,False,-0.540465600863586,0.47356742666666674,0.12456123407471065,1,1.0
RZ_p10_m10,1,1.0,False,True,True,False,-0.8113751119778294,0.27013420000000044,0.030519450175294116,1,1.0
nominal,2,1.0,False,True,False,False,-3.133069353573335,0.4816273099999999,-1.033708474786879,2,1.0
RZ_p10_m10,2,1.0,False,True,False,False,-3.478446018724319,0.2759736000000004,-1.2145423057160438,2,1.0
nominal,0,1.1,True,True,True,False,0.4527358366666667,0.46286111333333335,0.47174868000000003,0,1.1
RZ_p10_m10,0,1.1,True,True,True,False,0.30110085333333336,0.33296004,0.32086309,0,1.1
nominal,1,1.1,False,True,False,False,-0.9847158603133344,0.4926570333333333,-0.0034036562624510935,1,1.1
RZ_p10_m10,1,1.1,False,True,True,False,-1.329039340074912,0.31973813333333134,0.015007863562428891,1,1.1
nominal,2,1.1,False,True,False,False,-3.7406810074742385,0.46433280666666665,-1.700130305307137,2,1.1
RZ_p10_m10,2,1.1,False,True,False,False,-4.107399330119309,0.3130183499999999,-1.8526029486374629,2,1.1
