target_id,actual_delay_steps,actual_slew_scale,oracle_pass,weak_slew_deadline_diagnostic,abrupt_pass,unknown_bumpless_pass,adjacent_bumpless_pass,persistent_exact_pass,oracle_margin,unknown_margin,unknown_handover_events
RZ_p10_m10,0,0.9,False,True,False,False,False,False,-0.05656162672110154,-0.1438545266920368,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":0.9,""confidence_ratio"":1.0,""applied_at_step"":2}]"
RZ_p10_m10,0,1.0,True,False,True,True,False,True,0.23832005277494073,0.15797807725146173,"[{""event_type"":""initial_model_lock"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":1.0,""confidence_ratio"":1.0,""applied_at_step"":2}]"
RZ_p10_m10,0,1.1,True,False,True,True,False,True,0.33296004,0.3190812466666666,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":1.1,""confidence_ratio"":1.0,""applied_at_step"":2}]"
RZ_p10_m10,1,0.9,False,True,False,False,False,False,-0.20096462994582498,-0.20359643826963958,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":1,""new_slew_scale"":0.9,""confidence_ratio"":267.48527655117846,""applied_at_step"":2}]"
RZ_p10_m10,1,1.0,True,False,True,False,False,True,0.27013420000000044,-0.018999786103966354,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":1,""new_slew_scale"":1.0,""confidence_ratio"":1764.0983802797534,""applied_at_step"":2}]"
RZ_p10_m10,1,1.1,True,False,True,False,False,True,0.31973813333333134,-0.1326706832499096,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":1,""new_slew_scale"":1.1,""confidence_ratio"":321.14997838762685,""applied_at_step"":2}]"
RZ_p10_m10,2,0.9,False,True,False,False,False,False,-0.26824317729067215,-0.5874510963624351,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":0.9,""confidence_ratio"":1.0,""applied_at_step"":2},{""event_type"":""model_switch"",""detected_at_step"":2,""old_delay_steps"":0,""old_slew_scale"":0.9,""new_delay_steps"":2,""new_slew_scale"":0.9,""confidence_ratio"":334.16240169759783,""applied_at_step"":3}]"
RZ_p10_m10,2,1.0,True,False,False,False,False,True,0.2759736000000004,-1.328205433949361,"[{""event_type"":""initial_model_lock"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":1.0,""confidence_ratio"":1.0,""applied_at_step"":2},{""event_type"":""model_switch"",""detected_at_step"":2,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":2,""new_slew_scale"":1.0,""confidence_ratio"":545.1432410090658,""applied_at_step"":3}]"
RZ_p10_m10,2,1.1,True,False,False,False,True,True,0.3130183499999999,-1.9591271774826482,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":1.1,""confidence_ratio"":1.0,""applied_at_step"":2},{""event_type"":""model_switch"",""detected_at_step"":2,""old_delay_steps"":0,""old_slew_scale"":1.1,""new_delay_steps"":2,""new_slew_scale"":1.1,""confidence_ratio"":393.84312956053503,""applied_at_step"":3}]"
nominal,0,0.9,True,False,False,False,False,True,0.20440894227709006,-0.0023212882450502903,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":0.9,""confidence_ratio"":1.0,""applied_at_step"":2}]"
nominal,0,1.0,True,False,True,True,True,True,0.45179333666666666,0.4378762303074414,"[{""event_type"":""initial_model_lock"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":1.0,""confidence_ratio"":1.0,""applied_at_step"":2}]"
nominal,0,1.1,True,False,True,True,True,True,0.46286111333333335,0.45498673999999995,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":1.1,""confidence_ratio"":1.0,""applied_at_step"":2}]"
nominal,1,0.9,False,True,True,True,True,False,-0.028593344923346642,0.10455154334198535,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":1,""new_slew_scale"":0.9,""confidence_ratio"":471.88932559436654,""applied_at_step"":2}]"
nominal,1,1.0,True,False,True,True,True,True,0.47356742666666674,0.12675581853874907,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":1,""new_slew_scale"":1.0,""confidence_ratio"":1304.4222193876683,""applied_at_step"":2}]"
nominal,1,1.1,True,False,False,False,True,True,0.4926570333333333,-0.17396342561868905,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":1,""new_slew_scale"":1.1,""confidence_ratio"":620.631130160272,""applied_at_step"":2}]"
nominal,2,0.9,False,True,False,False,False,False,-0.04997002273695417,-0.4094192100172791,"[{""event_type"":""model_switch"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":0.9,""confidence_ratio"":1.0,""applied_at_step"":2},{""event_type"":""model_switch"",""detected_at_step"":2,""old_delay_steps"":0,""old_slew_scale"":0.9,""new_delay_steps"":2,""new_slew_scale"":0.9,""confidence_ratio"":583.3569904947299,""applied_at_step"":3}]"
nominal,2,1.0,True,False,False,False,True,True,0.4816273099999999,-1.2480651683171247,"[{""event_type"":""initial_model_lock"",""detected_at_step"":1,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":0,""new_slew_scale"":1.0,""confidence_ratio"":1.0,""applied_at_step"":2},{""event_type"":""model_switch"",""detected_at_step"":2,""old_delay_steps"":0,""old_slew_scale"":1.0,""new_delay_steps"":2,""new_slew_scale"":1.0,""confidence_ratio"":578.0956731867983,""applied_at_step"":3}]"
