confirmation_group,repeats,repeat_ids,repeat_coverage_complete,all_success,all_calibrations_successful,all_calibrations_correct,all_main_controls_executed,all_tracking_pass,minimum_margin
d0_s0.9_RZ_p10_m10,2,"[0,1]",True,True,True,False,True,False,-0.17699226630343223
d0_s0.9_nominal,2,"[0,1]",True,True,True,False,True,False,-0.02127816006614003
d0_s1.0_RZ_p10_m10,2,"[0,1]",True,True,True,True,True,True,0.23832005277494073
d0_s1.0_nominal,2,"[0,1]",True,True,True,True,True,True,0.45179333666666666
d0_s1.1_RZ_p10_m10,2,"[0,1]",True,True,True,True,True,True,0.33296004
d0_s1.1_nominal,2,"[0,1]",True,True,True,True,True,True,0.46286111333333335
d1_s0.9_RZ_p10_m10,2,"[0,1]",True,True,True,False,True,False,-0.16595203212338472
d1_s0.9_nominal,2,"[0,1]",True,True,True,False,True,False,-0.027015391051228077
d1_s1.0_RZ_p10_m10,2,"[0,1]",True,True,True,True,True,True,0.27013420000000044
d1_s1.0_nominal,2,"[0,1]",True,True,True,True,True,True,0.47356742666666674
d1_s1.1_RZ_p10_m10,2,"[0,1]",True,True,True,True,True,True,0.31973813333333134
d1_s1.1_nominal,2,"[0,1]",True,True,True,True,True,True,0.4926570333333333
d2_s0.9_RZ_p10_m10,2,"[0,1]",True,True,True,True,True,False,-0.18049654489107136
d2_s0.9_nominal,2,"[0,1]",True,True,True,True,True,False,-0.024942996202705903
d2_s1.0_RZ_p10_m10,2,"[0,1]",True,True,True,True,True,True,0.2759736000000004
d2_s1.0_nominal,2,"[0,1]",True,True,True,True,True,True,0.4816273099999999
d2_s1.1_RZ_p10_m10,2,"[0,1]",True,True,True,False,True,False,-1.8526029486374629
d2_s1.1_nominal,2,"[0,1]",True,True,True,False,True,False,-1.700130305307137
