experiment_id,actual_delay_steps,actual_slew_scale,noise_seed,online_selected_delay_steps,online_selected_slew_scale,online_first_confident_lock_step,online_final_confident,batch_ranked_delay_steps,batch_ranked_slew_scale,batch_trusted,batch_selected_delay_steps,batch_selected_slew_scale,batch_ranked_correct,batch_trusted_correct,batch_wrong_accept,full_delta_log_likelihood,minimum_split_delta_log_likelihood,rejection_reasons
s41r7_f96b54966ff584bab1c8,0,0.9,72009,0,0.9,1,False,0,0.9,True,0,0.9,True,True,False,290.5154761283787,69.72082896208757,[]
s41r7_de974ebf4e6d0f04f692__cal,0,0.9,73900,0,0.9,1,False,0,0.9,True,0,0.9,True,True,False,261.04742791010926,64.32981823037233,[]
s41r7_64fba714980c1c429a11__cal,0,0.9,73901,0,1.0,,False,0,0.9,True,0,0.9,True,True,False,222.91362355958566,54.6716109195631,[]
s41r7_3de94c11782b295d7e06,0,1.0,72010,0,1.0,1,False,0,1.0,True,0,1.0,True,True,False,242.51752650890106,49.80169062213239,[]
s41r7_845668996be593dad4dc__cal,0,1.0,74000,0,1.0,1,False,0,1.0,True,0,1.0,True,True,False,240.60637454344553,44.194629180673466,[]
s41r7_012379a274399b56cacc__cal,0,1.0,74001,0,1.0,1,False,0,1.0,True,0,1.0,True,True,False,228.9596109152601,40.46187876429887,[]
s41r7_a58647ef5215f17f7e32,0,1.1,72011,0,1.1,1,False,0,1.1,True,0,1.1,True,True,False,274.33195931319835,41.922957185722346,[]
s41r7_bb4259a3f0551190af30__cal,0,1.1,74100,0,1.1,1,False,0,1.1,True,0,1.1,True,True,False,281.0116309437443,64.70295583182768,[]
s41r7_34f7dd583ce52572bf12__cal,0,1.1,74101,0,1.1,3,False,0,1.1,True,0,1.1,True,True,False,260.89689472286364,74.72784462769434,[]
s41r7_941edeede140950da6db,1,0.9,72109,1,0.9,2,False,1,0.9,True,1,0.9,True,True,False,238.35110720476663,71.44961205106806,[]
s41r7_57ef320c940c90d63195__cal,1,0.9,74900,0,1.0,,False,1,0.9,True,1,0.9,True,True,False,227.13641567766706,60.95667221407229,[]
s41r7_3ec5fda9647715406ca2__cal,1,0.9,74901,1,0.9,3,False,1,0.9,True,1,0.9,True,True,False,228.96983946809388,51.26571908688811,[]
s41r7_2c333391688c462f4265,1,1.0,72110,1,1.0,2,False,1,1.0,True,1,1.0,True,True,False,252.60140840512767,61.14956236230914,[]
s41r7_b7f38c2d40131f9eebe8__cal,1,1.0,75000,1,1.0,2,False,1,1.0,True,1,1.0,True,True,False,246.2541221756273,56.809627271767205,[]
s41r7_15bb5483a529930be948__cal,1,1.0,75001,1,1.0,3,False,1,1.0,True,1,1.0,True,True,False,250.30676419677008,49.757828565461494,[]
s41r7_c94a64221f393d1f7873,1,1.1,72111,1,1.1,3,False,1,1.1,True,1,1.1,True,True,False,302.047532937479,85.21049687145822,[]
s41r7_03f290757d143273128d__cal,1,1.1,75100,1,1.1,2,False,1,1.1,True,1,1.1,True,True,False,298.8990367990841,73.95931799262512,[]
s41r7_0f60a9699c68a6f99572__cal,1,1.1,75101,1,1.1,2,False,1,1.1,True,1,1.1,True,True,False,310.54520673229683,65.52681924779635,[]
s41r7_189d7bb717ca186c55b8,2,0.9,72209,2,0.9,4,False,2,0.9,True,2,0.9,True,True,False,230.91971929873003,81.54447562540021,[]
s41r7_739184b3164cf72b437e__cal,2,0.9,75900,2,0.9,4,False,2,0.9,True,2,0.9,True,True,False,256.44096496609654,100.04342873846524,[]
s41r7_267acdaaf316965eff57__cal,2,0.9,75901,2,0.9,3,False,2,0.9,True,2,0.9,True,True,False,264.8110340365147,95.98889211998451,[]
s41r7_2f4e7fa5553bbe6e7a19,2,1.0,72210,2,1.0,3,False,2,1.0,True,2,1.0,True,True,False,217.29464961642964,101.39372880416313,[]
s41r7_2c1cc7c6cc1b6ae17da7__cal,2,1.0,76000,2,1.0,4,False,2,1.0,True,2,1.0,True,True,False,258.46477541135425,92.22602849347633,[]
s41r7_8d07446ee0e2c48d5108__cal,2,1.0,76001,2,1.0,3,False,2,1.0,True,2,1.0,True,True,False,202.81434612295595,72.52387394640412,[]
s41r7_d5c18ec904a7c67d8ea7,2,1.1,72211,2,1.1,5,False,2,1.1,True,2,1.1,True,True,False,305.9082243474099,132.03380190851692,[]
s41r7_4a36afcadc00b7f78cf7__cal,2,1.1,76100,2,1.1,4,False,2,1.1,True,2,1.1,True,True,False,278.581236002773,120.54251562919114,[]
s41r7_1d04202f5e3caa5e3230__cal,2,1.1,76101,0,1.0,,False,2,1.1,True,2,1.1,True,True,False,327.66667159894837,128.95299404334108,[]
