target_id,actual_delay_steps,actual_slew_scale,speed_350ms_m_per_s,speed_370ms_m_per_s,speed_390ms_m_per_s,speed_410ms_m_per_s
RZ_p10_m10,0,0.9,0.029983799844243382,0.0920632820197162,0.1341765334410242,0.14842650584003647
RZ_p10_m10,0,1.0,0.04401739910980761,0.108783576084881,0.15160332892322778,0.16748149649044033
RZ_p10_m10,0,1.1,0.041327610445338864,0.10843566766735822,0.15373104706981627,0.16918271672931745
RZ_p10_m10,1,0.9,0.0489544028257008,0.12279851833714416,0.20266267864325854,0.23913672907958294
RZ_p10_m10,1,1.0,0.03786557647202921,0.11366910853345492,0.1938602808111034,0.23041408159596294
RZ_p10_m10,1,1.1,0.04461654968059258,0.119084799455197,0.2027548383855111,0.23625264181228775
RZ_p10_m10,2,0.9,0.04803348730856878,0.12423671032697112,0.22820246026904298,0.29717088145372256
RZ_p10_m10,2,1.0,0.025877338214206437,0.10316771460879164,0.20976264917807896,0.27519898882184246
RZ_p10_m10,2,1.1,0.024742258927156233,0.10141384669034748,0.2091436622937621,0.2722390032012773
nominal,0,0.9,0.022838072551773864,0.07746721167734892,0.11664302119468455,0.12102583719253367
nominal,0,1.0,0.035340386950050644,0.09072881530420862,0.129629492647994,0.13660911010914545
nominal,0,1.1,0.029023678935894266,0.08384057232100019,0.12155207478365605,0.12887428099071613
nominal,1,0.9,0.043292819195936,0.10906680470713837,0.18164860471857364,0.20074593324203874
nominal,1,1.0,0.027551233204711013,0.09196379973658671,0.16392602479205728,0.18186397303128493
nominal,1,1.1,0.026925358196046755,0.09504592846590983,0.16692336616994347,0.18607147343995567
nominal,2,0.9,0.04489186216035888,0.1094177535114158,0.20482079590729813,0.24992447518991687
nominal,2,1.0,0.03238305551924962,0.10019332170839337,0.19523202945073717,0.24544880117058576
nominal,2,1.1,0.027639760281943284,0.09350509284454223,0.18782213395103803,0.2374170306564397
