experiment_id,source_experiment_id,target_id,actual_delay_steps,actual_slew_scale,formal_horizon_steps,environment_success,failure_reason,capture_visible_exact_to_source,capture_visible_numeric_to_source,capture_visible_maximum_abs_difference,capture_visible_comparable,capture_visible_left_shape,capture_visible_right_shape,capture_visible_mismatch_reason,capture_exception_stage,source_actions_exactly_replayed,source_action_maximum_abs_difference,source_action_comparable,source_action_mismatch_reason,trajectory_state_count,full_wire_current_vector_present,wire_current_count,snapshot_dir,snapshot_manifest_digest,snapshot_files_valid,snapshot_wire_exact_to_capture_checkpoint,snapshot_wire_maximum_abs_difference,passed
s42r1_683efa483483fb445e3d,s41r11_34d1db527d2bd88caf2e,RZ_p10_m10,0,0.9,37,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[38,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_a1b7708f6011ce730dd9,s41r11_3ba47e6bbc4b0932b224,nominal,0,0.9,37,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[38,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_127f38736035b78c7af6,s41r17_7bafe3803c15d39d1246,RZ_p10_m10,1,0.9,37,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[38,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_e49b8629e202e57e9aec,s41r17_7056295b49b8eca2b0b7,nominal,1,0.9,37,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[38,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_eeeae74dc3d8cfdd6271,s41r17_805f073b5a4a4d40cf05,RZ_p10_m10,2,0.9,37,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[38,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_6e47fc276c089c8225c6,s41r17_94ed769e1a5da77ca1f9,nominal,2,0.9,37,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[38,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_02e362a9db5d0038375a,s41r11_2f8571253fb3d4fecc7d,RZ_p10_m10,0,1.0,35,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[36,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_9cb2964ccf9f1f305352,s41r11_076c2e2752cc8914bcf9,nominal,0,1.0,35,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[36,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_360594c6e0e18106a893,s41r11_1a68ddcfee975c919917,RZ_p10_m10,1,1.0,35,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[36,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_c1b845e90cb8b80f4011,s41r11_32e058387b57496e214b,nominal,1,1.0,35,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[36,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_07d4391626b568d3d1d4,s41r11_440ab07f7bda1daaae91,RZ_p10_m10,2,1.0,35,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[36,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_6442ea8fce407a0d50c6,s41r11_e96eda15dbe928fd28b4,nominal,2,1.0,35,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[36,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_a873b553954ffbd64e0d,s41r11_73f1c535b04749e85080,RZ_p10_m10,0,1.1,35,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[36,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
s42r1_0335d099a55455c8c4a2,s41r11_4d30bd7baa9ca45ebae9,nominal,0,1.1,35,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",False,False,,False,[0],"[36,35]",shape_mismatch,prepare_replay,False,,False,shape_mismatch,0,False,0,.,,False,False,,False
