target_id,actual_delay_steps,actual_slew_scale,source_experiment_id,source_controller_revision,formal_horizon_steps,formal_arrival_deadline_step,source_environment_success,source_abnormal,source_action_count,source_action_finite,trusted_calibration_model,calibration_token,formal_tracking_pass,formal_minimum_signed_margin,official_formal_margin,controller_path
RZ_p10_m10,0,0.9,s41r11_34d1db527d2bd88caf2e,frozen_queue_preview_terminal_long_horizon_hold_v11,37,27,True,False,37,True,True,s41r8_96f124360adfe0ea785a,True,1.0456920999768471e-05,1.0456920999768471e-05,source_unchanged_r11_original_deadline
RZ_p10_m10,1,0.9,s41r17_7bafe3803c15d39d1246,original_deadline_one_sided_robust_braking_closure_v17,37,27,True,False,37,True,True,s41r8_b2208612681b9ad35531,True,0.03424307914254965,0.03424307914254965,r17_one_sided_6x_delay1
RZ_p10_m10,2,0.9,s41r17_805f073b5a4a4d40cf05,original_deadline_one_sided_robust_braking_closure_v17,37,27,True,False,37,True,True,s41r8_1755db2b033e3c882e1b,True,0.01633098324390514,0.01633098324390514,r17_one_sided_7x_delay2
RZ_p10_m10,0,1.0,s41r11_2f8571253fb3d4fecc7d,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_323e2cee1e36e56b87b5,True,0.23832005277494073,0.23832005277494073,source_unchanged_r11_original_deadline
RZ_p10_m10,1,1.0,s41r11_1a68ddcfee975c919917,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_b8694b26ade3584683b1,True,0.27013420000000044,0.27013420000000044,source_unchanged_r11_original_deadline
RZ_p10_m10,2,1.0,s41r11_440ab07f7bda1daaae91,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_e10061668c7e87d2d1d2,True,0.2759736000000004,0.2759736000000004,source_unchanged_r11_original_deadline
RZ_p10_m10,0,1.1,s41r11_73f1c535b04749e85080,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_8f82d0b573eea7605820,True,0.33296004,0.33296004,source_unchanged_r11_original_deadline
RZ_p10_m10,1,1.1,s41r11_a8f9a350bbff387ee6ea,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_badc5183f5be7ee119c9,True,0.31973813333333134,0.31973813333333134,source_unchanged_r11_original_deadline
RZ_p10_m10,2,1.1,s41r11_5e3711ab18fb9f1f3565,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_f128ff9ac029a5898f16,True,0.3130183499999999,0.3130183499999999,source_unchanged_r11_original_deadline
nominal,0,0.9,s41r11_3ba47e6bbc4b0932b224,frozen_queue_preview_terminal_long_horizon_hold_v11,37,27,True,False,37,True,True,s41r8_96f124360adfe0ea785a,True,0.2320586386219078,0.2320586386219078,source_unchanged_r11_original_deadline
nominal,1,0.9,s41r17_7056295b49b8eca2b0b7,original_deadline_one_sided_robust_braking_closure_v17,37,27,True,False,37,True,True,s41r8_b2208612681b9ad35531,True,0.1584858193418558,0.1584858193418558,r17_one_sided_6x_delay1
nominal,2,0.9,s41r17_94ed769e1a5da77ca1f9,original_deadline_one_sided_robust_braking_closure_v17,37,27,True,False,37,True,True,s41r8_1755db2b033e3c882e1b,True,0.22859295541133307,0.22859295541133307,r17_one_sided_7x_delay2
nominal,0,1.0,s41r11_076c2e2752cc8914bcf9,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_323e2cee1e36e56b87b5,True,0.45179333666666666,0.45179333666666666,source_unchanged_r11_original_deadline
nominal,1,1.0,s41r11_32e058387b57496e214b,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_b8694b26ade3584683b1,True,0.47356742666666674,0.47356742666666674,source_unchanged_r11_original_deadline
nominal,2,1.0,s41r11_e96eda15dbe928fd28b4,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_e10061668c7e87d2d1d2,True,0.4816273099999999,0.4816273099999999,source_unchanged_r11_original_deadline
nominal,0,1.1,s41r11_4d30bd7baa9ca45ebae9,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_8f82d0b573eea7605820,True,0.46286111333333335,0.46286111333333335,source_unchanged_r11_original_deadline
nominal,1,1.1,s41r11_d7c1a2e54d420e9431d3,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_badc5183f5be7ee119c9,True,0.4926570333333333,0.4926570333333333,source_unchanged_r11_original_deadline
nominal,2,1.1,s41r11_2e9da0089b814ed4be5f,frozen_queue_preview_terminal_long_horizon_hold_v11,35,25,True,False,35,True,True,s41r8_f128ff9ac029a5898f16,True,0.46433280666666665,0.46433280666666665,source_unchanged_r11_original_deadline
